id,od_num,org_lon,org_lat,des_lon,des_lat,pickup_time,distance,drive_time,alone_cost,alone_time,departure,Tmax,arrival
1,42,104.0288,30.63019,104.10379,30.70527,29611,14308,2044,21.462,2044,28411,2555.0,32166.0
2,49,103.99096,30.6718,104.07039,30.67528,27351,9888,1412,14.832,1412,26151,1765.0,29116.0
3,64,104.08615,30.687040000000003,104.07132,30.62707,31880,8862,1266,13.293000000000001,1266,30680,1582.5,33462.5
4,65,103.98945,30.663590000000006,104.08167,30.65055,31148,11621,1660,17.4315,1660,29948,2075.0,33223.0
5,70,104.04627,30.75098,104.09296,30.6906,28357,10480,1497,15.72,1497,27157,1871.25,30228.25
6,76,104.11226,30.71258,104.01565,30.69768,28151,12199,1742,18.2985,1742,26951,2177.5,30328.5
7,85,103.97311,30.67188,104.05069,30.6766,32804,9669,1381,14.5035,1381,31604,1726.25,34530.25
8,90,104.07573,30.69021,104.10093,30.76817,31362,11696,1670,17.544,1670,30162,2087.5,33449.5
9,111,103.98941,30.75255,104.04452,30.71453,32284,8780,1254,13.17,1254,31084,1567.5,33851.5
10,112,104.09444,30.714920000000006,104.03107,30.68303,30202,9126,1303,13.689,1303,29002,1628.75,31830.75
11,113,104.09374,30.6426,104.09827,30.70624,31352,9216,1316,13.824,1316,30152,1645.0,32997.0
12,120,104.09738,30.674540000000004,103.9931,30.71808,30587,14409,2058,21.613500000000002,2058,29387,2572.5,33159.5
13,133,104.056,30.632706,104.14162,30.62869,27343,10665,1523,15.9975,1523,26143,1903.75,29246.75
14,144,104.027578,30.66976,104.030477,30.752701,27506,11994,1713,17.991,1713,26306,2141.25,29647.25
15,146,104.139954,30.77712600000001,104.09847,30.6629,29634,17297,2471,25.9455,2471,28434,3088.75,32722.75
16,159,104.091462,30.672535,104.04538,30.70719,31073,7609,1087,11.4135,1087,29873,1358.75,32431.75
17,167,104.04163,30.7463,104.07657,30.69025,27810,9192,1313,13.788,1313,26610,1641.25,29451.25
