driver_id,station_id,o_v,v_d
1,1,1973,452
1,3,905,1410
1,7,1470,709
1,9,803,1536
1,22,1028,1151
1,35,1104,1214
1,38,2171,173
1,43,427,1873
1,49,1001,1238
1,50,1924,231
1,51,283,2186
1,52,317,1731
1,64,95,1961
1,66,1385,741
1,69,1151,1090
1,72,1388,1132
1,75,715,1451
1,85,1570,565
1,88,1503,712
1,106,778,1322
1,112,1422,857
1,113,277,2083
1,116,166,1978
1,117,824,1252
1,120,1690,366
1,124,1448,596
1,140,995,1048
1,147,850,1485
1,150,685,1786
1,152,1207,1254
1,157,1510,579
1,161,651,1458
1,165,1375,689
1,166,780,1263
1,168,1600,669
1,175,1281,992
1,180,1818,360
1,181,496,1569
1,182,674,1625
1,191,1165,983
1,195,1087,1405
1,208,1770,274
1,212,162,2203
1,213,1109,965
1,215,864,1196
1,223,746,1326
1,231,2079,394
1,234,1118,927
1,238,1715,698
1,240,315,2142
1,243,1258,906
1,247,846,1650
1,248,1388,989
1,252,1463,892
1,254,874,1356
1,266,424,1725
1,273,324,1885
1,275,1341,1073
1,277,1927,132
1,281,770,1383
2,3,752,659
2,9,663,760
2,10,869,824
2,36,376,1148
2,49,915,504
2,69,1038,434
2,72,1023,685
2,98,400,1028
2,112,1266,464
2,117,1068,405
2,134,524,1205
2,140,1330,199
2,161,917,613
2,162,167,1275
2,165,1482,202
2,166,1197,408
2,175,1126,447
2,181,979,712
2,195,714,750
2,215,1361,377
2,223,1041,474
2,233,327,1084
2,234,1369,70
2,243,1227,304
2,247,518,898
2,248,1142,553
2,263,597,1095
2,265,620,944
2,281,889,561
3,21,1290,85
3,22,703,565
3,35,802,520
3,66,336,973
3,75,978,337
3,88,400,1030
3,106,843,483
3,120,156,1351
3,124,109,1161
3,140,559,820
3,147,1040,228
3,150,1330,91
3,152,880,554
3,157,196,1135
3,165,236,1193
3,166,774,714
3,182,1161,154
3,191,543,731
3,205,1069,423
3,213,490,784
3,215,710,635
3,234,439,940
3,252,590,909
3,254,902,363
3,275,731,737
4,3,806,985
4,9,697,1024
4,22,1622,65
4,35,1767,111
4,36,332,1327
4,49,977,894
4,52,1061,728
4,64,933,976
4,69,1115,907
4,75,1430,316
4,98,499,1347
4,106,1389,277
4,116,1130,907
4,117,1088,629
4,134,422,1300
4,140,1354,435
4,147,1628,289
4,161,914,752
4,162,313,1570
4,166,1199,477
4,181,946,723
4,182,1506,444
4,191,1678,215
4,195,808,1148
4,213,1547,307
4,215,1361,316
4,223,1049,635
4,233,397,1359
4,234,1408,514
4,240,689,1252
4,247,562,1168
4,254,1573,172
4,266,1265,620
4,273,1255,771
4,281,910,796
5,7,1233,480
5,38,1270,509
5,39,645,884
5,48,790,768
5,50,1591,265
5,79,240,1404
5,85,1247,350
5,112,1179,641
5,120,1533,37
5,124,1562,241
5,136,289,1224
5,164,476,1025
5,165,1446,372
5,168,1100,513
5,180,1162,335
5,186,307,1554
5,208,1417,101
5,231,996,568
5,238,957,611
5,277,1337,263
6,7,906,900
6,10,1484,271
6,11,1755,175
6,38,163,1588
6,39,972,905
6,48,931,858
6,49,1443,630
6,50,384,1627
6,69,1292,642
6,72,1310,447
6,85,764,1038
6,92,1337,472
6,112,1046,739
6,120,573,1411
6,124,808,1242
6,160,1555,603
6,164,1024,1015
6,165,901,1053
6,168,849,904
6,175,1188,653
6,180,536,1212
6,195,1599,387
6,208,487,1380
6,231,462,1329
6,238,853,891
6,243,1110,794
6,246,1439,512
6,248,1174,600
6,257,1228,514
6,262,276,1737
6,263,1810,94
6,265,1715,193
6,270,1752,322
6,277,338,1445
7,3,1069,314
7,9,979,428
7,10,1141,537
7,15,246,1323
7,36,658,826
7,49,1230,153
7,69,1348,150
7,98,709,678
7,117,1384,231
7,134,758,913
7,153,253,1349
7,161,1226,385
7,162,462,925
7,175,1430,260
7,195,1019,405
7,223,1354,302
7,233,644,738
7,247,835,557
7,263,836,764
7,265,898,607
7,279,163,1539
7,281,1204,281
8,7,185,1655
8,38,686,1126
8,39,715,1222
8,48,576,1326
8,85,113,1574
8,110,1685,327
8,112,342,1705
8,114,1316,537
8,120,334,1630
8,124,211,1799
8,136,1114,915
8,164,884,1086
8,165,120,1790
8,168,269,1523
8,180,327,1348
8,208,331,1506
8,231,600,1072
8,238,406,1411
8,262,926,891
8,277,457,1349
8,278,1713,374
9,68,419,846
9,92,1196,149
9,95,724,684
9,101,649,870
9,160,854,400
9,246,1026,245
9,260,725,529
9,270,919,550
9,284,118,1140
10,3,1377,193
10,7,665,661
10,10,1193,272
10,38,156,1427
10,39,652,932
10,48,614,827
10,49,1211,228
10,69,1051,297
10,72,1024,329
10,85,539,805
10,92,1023,595
10,112,783,521
10,124,700,928
10,165,728,746
10,168,577,726
10,175,935,377
10,180,288,1031
10,195,1336,36
10,208,401,1135
10,231,145,1221
10,238,552,778
10,243,883,483
10,248,899,408
10,257,930,460
10,277,251,1237
11,1,1015,528
11,22,330,1138
11,35,162,1214
11,50,1097,290
11,66,593,736
11,85,1147,483
11,88,593,727
11,120,966,354
11,124,841,560
11,152,52,1265
11,157,752,572
11,165,946,629
11,176,635,945
11,180,1293,264
11,191,414,972
11,203,358,1252
11,205,145,1462
11,208,1092,238
11,213,549,939
11,228,453,1102
11,252,430,914
11,275,245,1090
11,277,1246,73
12,3,1138,1158
