id,od_num,org_lon,org_lat,des_lon,des_lat,pickup_time,distance,drive_time,org_sta,org_dis,org_time,des_sta,des_dis,des_time,alone_cost,alone_time,departure,Tmax,arrival
1,3,104.108977,30.687676,104.04279,30.71717,29318,9265,1323,50.0,1006.0,1006.0,92.0,1105.0,1105.0,22.8035,1323.0,28118,1984.5,31302.5
2,17,104.14791,30.67691,104.12844,30.63596,31052,6395,913,184.0,597.0,597.0,210.0,1162.0,1162.0,17.3505,913.0,29852,1369.5,32421.5
3,18,104.08621,30.68946,104.14003,30.66913,28343,7307,1043,120.0,1034.0,1034.0,121.0,668.0,668.0,19.0833,1043.0,27143,1564.5,29907.5
4,25,104.0628,30.68359,104.1127,30.67201,31735,6425,917,243.0,648.0,648.0,176.0,1398.0,1398.0,17.4075,917.0,30535,1375.5,33110.5
5,26,104.110832,30.67185,104.06914,30.70437,33104,6997,999,88.0,1495.0,1495.0,168.0,635.0,635.0,18.494300000000003,999.0,31904,1498.5,34602.5
6,29,103.94415,30.76545,104.10793,30.64821,27426,26487,3783,63.0,1046.0,1046.0,203.0,688.0,688.0,55.5253,3783.0,26226,5583.0,33009.0
7,55,104.11553,30.71495,104.075698,30.695897,31334,5665,809,38.0,1550.0,1550.0,85.0,211.0,211.0,15.9635,809.0,30134,1213.5,32547.5
8,67,104.08314,30.68507,104.0885,30.72581,31172,5926,846,124.0,394.0,394.0,231.0,1197.0,1197.0,16.4594,846.0,29972,1269.0,32441.0
9,68,104.08314,30.68507,104.0885,30.72581,31172,5926,846,124.0,394.0,394.0,231.0,1197.0,1197.0,16.4594,846.0,29972,1269.0,32441.0
10,75,104.11226,30.71258,104.01565,30.69768,28151,12199,1742,38.0,1143.0,1143.0,263.0,659.0,659.0,28.3781,1742.0,26951,2613.0,30764.0
11,78,104.04066,30.663120000000006,104.07984,30.6166,31318,8304,1186,281.0,431.0,431.0,33.0,1160.0,1160.0,20.977600000000002,1186.0,30118,1779.0,33097.0
12,91,103.98962,30.56782,104.07034,30.66035,27947,16725,2389,283.0,2315.0,2315.0,215.0,707.0,707.0,36.9775,2389.0,26747,3583.5,31530.5
13,96,104.099068,30.672592,104.08425,30.63516,29890,5716,816,88.0,228.0,228.0,147.0,1084.0,1084.0,16.0604,816.0,28690,1224.0,31114.0
14,114,104.17952,30.6911,104.06434,30.70836,31068,14532,2076,184.0,4699.0,4699.0,238.0,144.0,144.0,32.8108,2076.0,29868,3114.0,34182.0
15,115,104.04895,30.7546,104.08236,30.70402,27468,8407,1201,79.0,1377.0,1377.0,180.0,163.0,163.0,21.173299999999998,1201.0,26268,1801.5,29269.5
16,118,104.17952,30.6911,104.06434,30.70836,31068,14532,2076,184.0,4699.0,4699.0,238.0,144.0,144.0,32.8108,2076.0,29868,3114.0,34182.0
