rider_id,station_id,o_v,v_d
6,4,914,0
6,8,1982,0
6,11,1741,0
6,15,1789,0
6,26,2150,0
6,44,1925,0
6,45,2069,0
6,63,149,0
6,68,1223,0
6,79,2068,0
6,82,1475,0
6,89,708,0
6,95,1442,0
6,101,1292,0
6,136,2095,0
6,141,1895,0
6,143,659,0
6,153,2253,0
6,154,1083,0
6,160,1668,0
6,177,442,0
6,186,2054,0
6,196,893,0
6,221,697,0
6,222,297,0
6,246,1829,0
6,249,485,0
6,260,1548,0
6,263,1913,0
6,270,1637,0
6,274,2196,0
6,279,1931,0
6,284,944,0
7,50,447,0
10,50,384,0
10,85,764,0
11,35,0,665
11,150,0,285
12,19,1176,0
12,20,405,0
12,23,954,0
12,24,822,0
12,47,1338,0
12,76,663,0
12,93,601,0
12,96,1359,0
12,103,1367,0
12,104,1418,0
12,123,481,0
12,163,1010,0
12,174,717,0
12,187,822,0
12,190,1435,0
12,198,1058,0
12,200,583,0
12,201,606,0
12,204,425,0
12,211,629,0
12,235,356,0
12,241,1223,0
12,242,1144,0
12,268,1118,0
12,283,330,0
13,170,0,229
13,205,0,155
14,25,931,0
14,34,1009,0
14,42,967,0
14,121,824,0
14,184,671,0
14,197,1025,0
16,25,931,0
16,34,1009,0
16,42,967,0
16,121,824,0
16,184,671,0
16,197,1025,0
17,25,308,0
17,34,451,0
17,78,231,0
17,118,320,0
17,121,420,0
17,176,566,0
17,185,453,0
17,197,228,0
17,203,670,0
17,227,590,0
17,228,616,0
17,272,401,0
18,79,0,255
18,136,0,250
18,164,0,415
19,25,895,0
19,197,860,0
22,52,298,0
22,116,560,0
22,161,197,0
22,181,144,0
28,1,590,0
28,42,753,0
28,50,439,0
29,88,573,0
29,252,414,0
31,7,580,0
31,48,334,0
31,168,447,0
31,238,349,0
33,13,0,516
33,14,0,616
33,18,0,476
33,67,0,465
33,78,0,824
33,84,0,446
33,118,0,532
33,185,0,483
33,210,0,921
34,38,0,225
34,120,0,347
34,208,0,274
34,277,0,163
35,79,191,0
35,136,311,0
36,1,763,0
36,22,437,0
36,35,569,0
36,42,875,0
