instance,num_users,ratio,vot,pick,trip
1,1070,L,H,H,H
2,1135,H,L,L,L
3,1215,L,H,L,H
4,1451,H,H,L,H
5,1639,L,H,L,H
6,1782,H,H,H,H
7,1828,L,L,L,H
8,1950,L,L,L,H
9,2177,H,H,H,L
10,2228,L,L,H,L
11,2371,H,H,H,H
12,2415,L,L,L,L
13,2710,H,L,H,L
14,2845,H,L,H,L
15,2944,H,H,H,L
16,3051,H,H,H,H
17,3145,H,H,L,H
18,3358,H,H,L,H
19,3389,L,L,L,L
20,3465,L,L,H,H
21,3744,L,L,H,L
22,3867,L,L,L,L
23,3986,H,H,H,L
24,4195,L,H,L,H
25,4252,L,H,L,H
26,4540,H,L,H,L
27,4675,H,L,H,H
28,4799,H,L,H,L
29,4802,L,H,H,L
30,4966,H,H,L,H
