ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,num_matches,num_SR,num_RT,num_TR,num_1,num_2,num_3,Mr_ave,Mr_std,Md_ave,Md_std,Mu_ave,Mu_std,time_feasible,appr_obj,appr_time,appr_iter,appr_theta,appr_matches,appr_matched_r,appr_matched_d,appr_SR,appr_RT,appr_TR,appr_1,appr_2,appr_3,broken_ratio,broken,broken_r,broken_d,broken_min,broken_max,broken_ave,broken_std,r_min,r_max,r_ave,r_std,d_min,d_max,d_ave,d_std
1,1070,714,356,96,381,237,38097,3089,22207,12801,34278,3440,379,59.23669468,169.1599818,107.0140449,159.369394,75.13271028,167.4864903,0.0956,12278.2847,0.0466,12,736,331,379,331,205,80,46,290,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1135,852,283,125,475,252,8620,1212,5897,1511,8391,229,0,10.38615023,39.40350364,30.45936396,46.52345746,15.39118943,42.19712824,0.0251,5262.1958,0.0143,8,449,241,262,241,146,57,38,220,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1215,810,405,120,439,251,30248,2439,20145,7664,28754,1379,115,39.32962963,123.259252,74.68641975,115.9595414,51.11522634,122.018719,0.0662,12765.7896,0.0579,14,880,365,410,365,226,87,52,323,39,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1451,1089,362,172,610,307,44194,3348,29876,10970,39683,4151,360,45.05509642,132.1519727,122.0828729,165.4343481,64.27222605,145.072651,0.1124,13835.5989,0.0551,12,808,349,433,349,204,93,52,272,70,7,0.29,1,3,1,0.18,20.38,5.27,8.72,0.18,20.38,6.91,9.52,0.37,0.37,0.37,0
5,1639,1093,546,146,627,320,75033,5105,53935,15993,64401,9162,1470,79.72095151,273.3275416,137.4230769,185.4291294,98.94325808,249.0270852,0.2125,19907.4658,0.1883,18,1359,516,618,516,324,133,59,425,80,11,1.36,3,5,3,0.03,4.59,1.15,1.42,0.03,0.92,0.36,0.35,0.92,4.59,2.46,1.56
6,1782,1337,445,187,721,429,109028,7061,71530,30437,89659,17210,2159,97.64846672,329.4048676,245.0067416,328.4636247,134.4466891,335.2929322,0.3459,18917.9423,0.1982,18,1239,433,578,433,269,105,59,308,105,20,1.39,3,5,3,0.01,10.74,2.7,4.22,0.01,10.74,2.35,4.2,0.09,9.19,3.3,4.17
7,1828,1219,609,178,666,375,62353,6184,42605,13564,55249,6235,869,57.69155045,158.7612528,102.3858785,128.8493368,72.58150985,150.9398181,0.2561,14471.3318,0.1501,15,1450,577,702,577,349,146,82,462,105,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1950,1300,650,171,727,402,67226,6293,43553,17380,57607,8925,694,59.64538462,203.9692275,103.4246154,108.7406145,74.23846154,179.1732497,0.2334,15130.9212,0.1638,14,1535,609,726,609,402,133,74,502,97,10,0.49,2,3,2,0.03,13.5,3.12,5.21,0.03,13.5,4.58,6.31,0.89,0.96,0.93,0.03
9,2177,1633,544,237,909,487,77646,6629,55101,15916,65072,10974,1600,56.22780159,205.8934993,142.7316176,208.8559559,77.84382177,210.0042313,0.2733,21989.5415,0.1571,15,1301,525,694,525,350,114,61,377,127,21,0.95,2,4,2,0,0.95,0.48,0.35,0,0.67,0.28,0.25,0.8,0.95,0.87,0.08
10,2228,1486,742,199,846,441,73574,7709,49550,16315,60565,10338,2671,60.06325707,171.0624626,99.15633423,124.646248,73.08258528,158.2109652,0.2549,17784.409,0.2421,18,1687,673,847,673,443,141,89,520,132,21,0.3,1,2,1,1.77,11.06,4.99,4.3,2.13,11.06,6.6,4.46,1.77,1.77,1.77,0
11,2371,1779,592,250,977,552,192944,13450,127612,51882,152115,31685,9144,136.5469365,414.8886675,325.9189189,434.3590574,183.8300295,427.7611182,0.8201,27277.2686,0.7697,35,1908,589,844,589,367,139,83,381,161,47,1.36,4,6,4,0.12,13.79,3.49,4.91,0.12,13.79,4.59,5.98,0.63,4.37,1.84,1.49
12,2415,1610,805,215,902,493,61646,5911,42336,13399,49364,10138,2144,47.24968944,243.3991247,76.57888199,99.40746339,57.02608696,207.3174533,0.1811,17908.0069,0.3583,24,1662,726,865,726,467,169,90,607,99,20,0.41,2,2,2,0.09,5.75,2.52,2.2,0.09,0.96,0.53,0.44,3.29,5.75,4.52,1.23
13,2710,2033,677,291,1143,599,96987,10396,64269,22322,70867,19218,6902,63.94933596,244.2546728,143.2599705,199.5838368,83.76236162,236.4025625,0.4312,18596.3086,0.2873,18,1683,654,887,654,440,131,83,454,167,33,0.15,1,1,1,0.34,7.09,3.72,3.37,7.09,7.09,7.09,0,0.34,0.34,0.34,0
14,2845,2134,711,298,1215,621,124083,12107,85695,26281,82302,29253,12528,83.59512652,395.2866696,174.5189873,314.5886415,106.3181019,378.7940438,0.626,20303.3774,0.2974,14,1812,695,952,695,456,156,83,476,181,38,0.86,3,3,3,0.16,2.63,1.47,0.78,0.16,2.63,1.57,1.04,1.01,1.83,1.38,0.34
15,2944,2208,736,295,1272,641,130014,13231,85446,31337,97934,25757,6323,76.27581522,323.6317569,176.6494565,257.202349,101.3692255,311.4168193,0.59,32218.1454,0.4313,19,2009,714,1007,714,476,159,79,470,195,49,1.12,4,6,4,0.01,13.42,1.68,3.93,0.04,13.42,2.4,4.94,0.01,1.14,0.61,0.46
16,3051,2289,762,334,1258,697,343458,21231,233116,89111,244338,75005,24115,203.8851027,631.5779765,450.7322835,594.8403471,265.5362176,631.7083461,1.5071,35981.719,1.1382,27,2608,760,1137,760,481,165,114,437,269,54,1.58,6,8,6,0,5.59,1.59,1.51,0,2.78,1.36,1.09,0.09,5.59,1.89,1.9
17,3145,2359,786,325,1314,720,246725,15033,175884,55808,186144,46980,13601,136.0351844,431.8928508,313.8994911,432.7512038,180.4871224,438.9161154,1.0614,34978.8527,0.9789,29,2348,777,1079,777,488,196,93,534,184,59,0.9,3,6,3,0.05,1.82,0.7,0.52,0.05,1.14,0.61,0.36,0.11,1.82,0.89,0.7
18,3358,2519,839,362,1417,740,336085,19271,253394,63420,225379,78075,32631,190.3223501,912.1948639,400.5780691,592.3052364,242.8549732,848.6095948,1.5676,38432.8615,1.0967,17,2616,833,1199,833,510,208,115,523,254,56,0.48,2,4,2,0.01,5.13,1.19,1.83,0.01,5.13,1.68,2.08,0.08,0.35,0.21,0.14
19,3389,2260,1129,328,1271,661,121166,12798,79628,28740,90956,21614,8596,70.7840708,275.9392445,107.3215235,148.5277447,82.95603423,241.7071699,0.4734,26527.9356,0.4768,17,2465,1013,1259,1013,680,208,125,788,204,21,0.69,3,5,3,0.01,10.58,1.89,3.37,0.01,2.34,0.75,0.92,0.13,10.58,3.8,4.81
20,3465,2310,1155,320,1319,671,403094,30493,294095,78506,272913,98929,31252,244.3839827,703.9492456,348.9991342,415.548201,279.2556999,624.7841249,2.5273,32668.1995,1.7593,29,3417,1106,1581,1106,713,254,139,704,329,73,0.54,3,3,3,0.11,1.88,0.6,0.61,0.11,0.7,0.33,0.26,0.24,1.88,0.88,0.72
21,3744,2496,1248,340,1387,769,241009,26102,162994,51913,172378,50252,18379,131.4178686,502.3498042,193.1161859,266.6125108,151.9839744,439.0636517,1.3701,32530.3534,1.4217,27,3247,1167,1551,1167,820,209,138,836,278,53,1.11,5,10,5,0.04,2.58,0.69,0.68,0.04,1.61,0.49,0.49,0.36,2.58,1.09,0.82
