station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,15,8429,3470,0,36.7468,15.6153,9.2638,10.0658,0.0,2512,957.0,1108.0,0.0,10.16,8.67,9.35,0.0,41,0.0,30.0,0.0,many,SR,2
0,16,3437,3436,0,30.4699,12.9178,8.003,8.003,0.0,1155,792.0,792.0,0.0,-1.79,7.73,7.73,0.0,68,0.0,0.0,0.0,many,SR,2
0,27,7808,2905,1154,65.5871,26.7653,10.7267,13.9515,10.8985,2633,1182.0,1769.0,1171.0,-1.56,9.82,12.75,9.88,167,22.0,116.0,0.0,many,SR,3
0,35,2563,2562,56,49.7009,20.1205,8.5561,8.5561,9.8604,1388,863.0,863.0,1388.0,-8.9,8.13,8.13,9.81,229,0.0,0.0,229.0,many,SR,3
0,41,9363,9362,66,63.4361,27.0881,8.6286,8.6286,16.0195,1940,874.0,874.0,1940.0,-7.27,8.2,8.2,14.32,38,0.0,0.0,38.0,many,SR,3
0,47,4265,3549,0,33.7926,14.5238,8.2795,9.3201,0.0,1084,827.0,993.0,0.0,-3.64,7.93,8.76,0.0,34,0.0,19.0,0.0,many,SR,2
0,63,6919,3567,0,39.17,16.0916,11.4832,9.6624,0.0,1408,1277.0,1008.0,0.0,-2.61,10.37,8.96,0.0,89,19.0,0.0,0.0,many,SR,2
0,67,9957,7638,7637,60.045,24.8511,8.8976,11.6725,11.6725,1433,909.0,1325.0,1325.0,-11.52,8.39,10.56,10.56,117,0.0,34.0,34.0,many,SR,3
0,69,7889,7888,0,37.6741,15.8722,9.981,9.981,0.0,1179,1051.0,1051.0,0.0,-4.18,9.2,9.2,0.0,47,0.0,0.0,0.0,many,SR,2
0,76,8055,5551,896,52.1304,20.555,11.2453,8.9834,8.613,2149,1394.0,920.0,974.0,-2.04,10.49,8.46,8.39,276,115.0,0.0,66.0,many,SR,3
0,84,6815,1349,0,44.153,18.5971,11.6615,11.791,0.0,1422,1270.0,1314.0,0.0,-4.0,10.44,10.59,0.0,23,0.0,17.0,0.0,many,SR,2
0,85,9782,0,0,15.3695,8.2552,6.1454,0.0,0.0,1129,799.0,0.0,0.0,3.13,9.69,0.0,0.0,32,0.0,0.0,0.0,one,SR,1
0,88,4454,1523,0,36.5023,14.1788,9.8932,10.5037,0.0,1349,1315.0,1119.0,0.0,-3.17,9.68,9.58,0.0,216,179.0,0.0,0.0,many,SR,2
0,92,1191,0,0,15.6472,8.4655,6.2058,0.0,0.0,1156,809.0,0.0,0.0,3.35,9.76,0.0,0.0,22,0.0,0.0,0.0,one,SR,1
0,100,7906,7905,3028,61.2924,26.4216,7.9533,7.9533,16.0075,1889,785.0,785.0,1883.0,-6.77,7.69,7.69,14.18,13,0.0,0.0,3.0,many,SR,3
0,109,6406,4318,0,32.9573,14.3496,7.7664,9.2192,0.0,1157,760.0,971.0,0.0,-2.45,7.55,8.67,0.0,17,0.0,13.0,0.0,many,SR,2
0,127,5397,1608,0,31.9844,12.7874,9.2718,8.2147,0.0,1233,1233.0,819.0,0.0,-2.45,9.22,7.88,0.0,178,178.0,0.0,0.0,many,SR,2
0,145,1786,0,0,14.8052,8.1311,5.7504,0.0,0.0,1092,735.0,0.0,0.0,3.15,9.24,0.0,0.0,13,0.0,0.0,0.0,one,SR,1
0,149,9342,308,0,42.4675,16.6591,11.0835,12.5424,0.0,1707,1195.0,1707.0,0.0,-1.72,10.02,11.81,0.0,204,0.0,204.0,0.0,many,SR,2
0,156,5805,676,0,48.2917,17.6681,14.0302,14.0886,0.0,2054,1688.0,1603.0,0.0,-0.98,12.61,12.44,0.0,333,58.0,0.0,0.0,many,SR,2
0,164,3209,0,0,18.9744,9.7242,8.0628,0.0,0.0,1433,1108.0,0.0,0.0,4.36,11.87,0.0,0.0,66,0.0,0.0,0.0,one,SR,1
