station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,27,7808,2905,1154,65.5871,16.5365,14.0153,18.7084,14.2183,2633,1182.0,1769.0,1171.0,8.67,6.53,8.0,6.56,167,22.0,116.0,0.0,many,SR,3
0,28,7671,3769,2707,66.6767,18.4801,15.4931,15.512,15.1288,2267,1293.0,1299.0,1258.0,5.24,6.91,6.91,6.81,6,0.0,3.0,0.0,many,SR,3
0,35,2563,2562,56,49.7009,12.7594,11.0027,11.0027,13.1462,1388,863.0,863.0,1388.0,-1.54,5.69,5.69,6.53,229,0.0,0.0,229.0,many,SR,3
0,41,9363,9362,66,63.4361,17.6409,11.1064,11.1064,21.5608,1940,874.0,874.0,1940.0,2.17,5.72,5.72,8.78,38,0.0,0.0,38.0,many,SR,3
0,42,6816,6653,2199,60.6028,15.794,16.5499,16.663,9.6048,1573,1513.0,1406.0,842.0,-1.4,7.29,7.22,5.4,145,85.0,1.0,80.0,many,SR,3
0,47,4265,3549,0,33.7926,9.9286,10.6241,12.0813,0.0,1084,827.0,993.0,0.0,0.95,5.58,6.0,0.0,34,0.0,19.0,0.0,many,SR,2
0,67,9957,7638,7637,60.045,15.9438,11.4746,15.3324,15.3324,1433,909.0,1325.0,1325.0,-2.61,5.82,6.9,6.9,117,0.0,34.0,34.0,many,SR,3
0,84,6815,1349,0,44.153,12.0474,15.262,15.468,0.0,1422,1270.0,1314.0,0.0,2.55,6.84,6.92,0.0,23,0.0,17.0,0.0,many,SR,2
0,85,9782,0,0,15.3695,5.7132,8.9698,0.0,0.0,1129,799.0,0.0,0.0,5.68,6.86,0.0,0.0,32,0.0,0.0,0.0,one,SR,1
0,88,4454,1523,0,36.5023,8.4251,13.1138,13.676,0.0,1349,1315.0,1119.0,0.0,2.58,6.46,6.41,0.0,216,179.0,0.0,0.0,many,SR,2
0,100,7906,7905,3028,61.2924,17.491,10.1788,10.1788,21.4795,1889,785.0,785.0,1883.0,2.16,5.47,5.47,8.71,13,0.0,0.0,3.0,many,SR,3
0,109,6406,4318,0,32.9573,9.9661,9.921,11.9351,0.0,1157,760.0,971.0,0.0,1.93,5.39,5.96,0.0,17,0.0,13.0,0.0,many,SR,2
0,145,1786,0,0,14.8052,5.7927,8.3487,0.0,0.0,1092,735.0,0.0,0.0,5.49,6.64,0.0,0.0,13,0.0,0.0,0.0,one,SR,1
0,149,407,308,0,41.9357,9.7629,13.9044,16.8685,0.0,1697,1141.0,1697.0,0.0,5.22,6.47,7.52,0.0,194,0.0,194.0,0.0,many,SR,2
0,164,3209,0,0,18.9744,6.1991,11.9796,0.0,0.0,1433,1108.0,0.0,0.0,7.89,7.96,0.0,0.0,66,0.0,0.0,0.0,one,SR,1
0,187,7940,2662,413,59.601,16.5706,10.8271,13.7807,16.4896,1467,863.0,1129.0,1467.0,-1.99,5.65,6.44,7.24,57,12.0,0.0,57.0,many,SR,3
0,189,9584,1846,0,67.3762,13.5705,31.0666,20.6939,0.0,4054,3156.0,1801.0,0.0,24.16,11.99,8.46,0.0,330,236.0,0.0,0.0,many,SR,2
0,192,5562,2585,0,37.3333,9.3146,13.3764,13.3764,0.0,1795,1090.0,1090.0,0.0,7.45,6.33,6.33,0.0,142,0.0,0.0,0.0,many,SR,2
0,193,8099,7378,898,49.0069,12.4876,11.8405,11.1914,11.7332,1908,945.0,880.0,937.0,4.25,5.92,5.74,5.89,225,1.0,-1.0,3.0,many,SR,3
0,218,6691,4337,463,73.116,19.5328,13.6214,18.3632,19.3703,1721,1137.0,1604.0,1721.0,-1.98,6.42,7.77,8.1,36,17.0,23.0,36.0,many,SR,3
0,219,5696,5695,0,32.7871,9.3726,11.1349,11.1349,0.0,1292,876.0,876.0,0.0,3.26,5.72,5.72,0.0,64,0.0,0.0,0.0,many,SR,2
