station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,9,6311,0,0,11.4744,4.8974,5.6632,0.0,0.0,1481,721,0,0,7.33,9.14,0.0,0.0,227,0.0,0.0,0.0,one,SR,1
0,14,4151,3118,0,30.1746,12.2139,8.1937,8.1937,0.0,1846,816,816,0,5.22,7.87,7.87,0.0,133,0.0,0.0,0.0,many,SR,2
0,15,8429,3470,0,36.7468,15.6153,9.2638,10.0658,0.0,2512,957,1108,0,10.16,8.67,9.35,0.0,41,0.0,30.0,0.0,many,SR,2
0,17,4515,0,0,19.7352,10.2006,8.3183,0.0,0.0,1364,1149,0,0,3.37,12.16,0.0,0.0,51,0.0,0.0,0.0,one,SR,1
0,18,30,0,0,19.9933,10.7128,8.091,0.0,0.0,1111,1111,0,0,0.96,11.89,0.0,0.0,0,0.0,0.0,0.0,one,SR,1
0,25,7609,0,0,13.9577,6.5035,6.4506,0.0,0.0,1407,848,0,0,5.74,10.04,0.0,0.0,173,0.0,0.0,0.0,one,SR,1
0,27,7808,2905,1154,65.5871,26.7653,10.7267,13.9515,10.8985,2633,1182,1769,1171,-1.56,9.82,12.75,9.88,167,22.0,116.0,0.0,many,SR,3
0,28,7671,3769,2707,66.6767,28.2957,11.8275,11.8379,11.5623,2267,1293,1299,1258,-4.58,10.57,10.59,10.37,6,0.0,3.0,0.0,many,SR,3
0,31,7536,0,0,17.2134,9.3576,6.8106,0.0,0.0,1392,907,0,0,5.21,10.45,0.0,0.0,4,0.0,0.0,0.0,one,SR,1
0,35,2563,2562,56,49.7009,20.1205,8.5561,8.5561,9.8604,1388,863,863,1388,-8.9,8.13,8.13,9.81,229,0.0,0.0,229.0,many,SR,3
0,36,2244,0,0,15.9945,7.5541,7.3358,0.0,0.0,1230,991,0,0,2.97,11.05,0.0,0.0,163,0.0,0.0,0.0,one,SR,1
0,41,9363,9362,66,63.4361,27.0881,8.6286,8.6286,16.0195,1940,874,874,1940,-7.27,8.2,8.2,14.32,38,0.0,0.0,38.0,many,SR,3
0,46,5574,5573,0,49.7096,19.9526,13.6724,13.6724,0.0,1862,1543,1543,0,-2.16,12.06,12.06,0.0,120,0.0,0.0,0.0,many,SR,2
0,47,4265,3549,0,33.7926,14.5238,8.2795,9.3201,0.0,1084,827,993,0,-3.64,7.93,8.76,0.0,34,0.0,19.0,0.0,many,SR,2
0,48,3796,0,0,19.4012,8.9749,9.1195,0.0,0.0,1895,1277,0,0,8.14,13.07,0.0,0.0,190,0.0,0.0,0.0,one,SR,1
0,51,1293,0,0,19.5208,9.5333,8.7251,0.0,0.0,1740,1214,0,0,6.91,12.62,0.0,0.0,125,0.0,0.0,0.0,one,SR,1
0,58,4085,2906,0,45.4106,17.5555,12.7984,12.7984,0.0,2225,1420,1420,0,3.04,11.29,11.29,0.0,189,0.0,0.0,0.0,many,SR,2
0,59,5347,3207,0,33.1221,13.9886,8.7392,8.7392,0.0,1145,888,888,0,-2.87,8.27,8.27,0.0,62,0.0,0.0,0.0,many,SR,2
0,61,6701,0,0,29.5629,12.7506,14.7292,0.0,0.0,2522,2282,0,0,7.73,20.83,0.0,0.0,409,0.0,0.0,0.0,one,SR,1
0,62,8069,0,0,16.4246,7.8914,7.4201,0.0,0.0,1501,1003,0,0,5.74,11.13,0.0,0.0,145,0.0,0.0,0.0,one,SR,1
0,63,6919,3567,0,39.17,16.0916,11.4832,9.6624,0.0,1408,1277,1008,0,-2.61,10.37,8.96,0.0,89,19.0,0.0,0.0,many,SR,2
0,67,9957,7638,7637,60.045,24.8511,8.8976,11.6725,11.6725,1433,909,1325,1325,-11.52,8.39,10.56,10.56,117,0.0,34.0,34.0,many,SR,3
0,69,7889,7888,0,37.6741,15.8722,9.981,9.981,0.0,1179,1051,1051,0,-4.18,9.2,9.2,0.0,47,0.0,0.0,0.0,many,SR,2
0,74,6481,0,0,17.3745,9.4347,6.8867,0.0,0.0,1202,918,0,0,3.14,10.53,0.0,0.0,3,0.0,0.0,0.0,one,SR,1
0,75,846,0,0,13.8234,7.3007,5.6139,0.0,0.0,1160,714,0,0,4.0,9.09,0.0,0.0,60,0.0,0.0,0.0,one,SR,1
0,83,5670,0,0,15.3664,7.3302,6.9726,0.0,0.0,1372,933,0,0,4.83,10.64,0.0,0.0,153,0.0,0.0,0.0,one,SR,1
0,84,6815,1349,0,44.153,18.5971,11.6615,11.791,0.0,1422,1270,1314,0,-4.0,10.44,10.59,0.0,23,0.0,17.0,0.0,many,SR,2
0,85,9782,0,0,15.3695,8.2552,6.1454,0.0,0.0,1129,799,0,0,3.13,9.69,0.0,0.0,32,0.0,0.0,0.0,one,SR,1
0,88,4454,1523,0,36.5023,14.1788,9.8932,10.5037,0.0,1349,1315,1119,0,-3.17,9.68,9.58,0.0,216,179.0,0.0,0.0,many,SR,2
0,92,1191,0,0,15.6472,8.4655,6.2058,0.0,0.0,1156,809,0,0,3.35,9.76,0.0,0.0,22,0.0,0.0,0.0,one,SR,1
0,100,7906,7905,3028,61.2924,26.4216,7.9533,7.9533,16.0075,1889,785,785,1883,-6.77,7.69,7.69,14.18,13,0.0,0.0,3.0,many,SR,3
0,106,8571,0,0,19.3947,9.8285,8.347,0.0,0.0,1927,1153,0,0,9.26,12.19,0.0,0.0,78,0.0,0.0,0.0,one,SR,1
0,109,6406,4318,0,32.9573,14.3496,7.7664,9.2192,0.0,1157,760,971,0,-2.45,7.55,8.67,0.0,17,0.0,13.0,0.0,many,SR,2
0,110,9484,0,0,33.0906,14.8748,15.9556,0.0,0.0,2903,2508,0,0,10.14,22.6,0.0,0.0,373,0.0,0.0,0.0,one,SR,1
0,116,9650,0,0,14.894,8.1058,5.8526,0.0,0.0,1069,752,0,0,2.8,9.36,0.0,0.0,22,0.0,0.0,0.0,one,SR,1
0,119,7463,242,0,32.7174,13.6787,7.4822,9.8805,0.0,1186,723,1186,0,-2.63,7.34,9.42,0.0,96,0.0,96.0,0.0,many,SR,2
0,120,9481,0,0,16.6011,7.3263,8.0853,0.0,0.0,1461,1111,0,0,4.64,11.89,0.0,0.0,231,0.0,0.0,0.0,one,SR,1
0,125,4073,0,0,17.0982,7.5251,8.3532,0.0,0.0,1857,1154,0,0,8.52,12.2,0.0,0.0,236,0.0,0.0,0.0,one,SR,1
0,127,5397,1608,0,31.9844,12.7874,9.2718,8.2147,0.0,1233,1233,819,0,-2.45,9.22,7.88,0.0,178,178.0,0.0,0.0,many,SR,2
0,129,2483,0,0,21.9251,11.1557,9.4272,0.0,0.0,1438,1327,0,0,3.02,13.42,0.0,0.0,63,0.0,0.0,0.0,one,SR,1
0,130,791,0,0,23.4204,11.9983,10.0142,0.0,0.0,1753,1420,0,0,5.74,14.08,0.0,0.0,46,0.0,0.0,0.0,one,SR,1
0,131,6757,0,0,35.2834,17.7044,15.3987,0.0,0.0,3659,2406,0,0,18.8,21.8,0.0,0.0,131,0.0,0.0,0.0,one,SR,1
0,137,8046,1224,0,29.274,12.1851,7.829,7.7359,0.0,1335,828,756,0,0.3,7.71,7.53,0.0,105,39.0,0.0,0.0,many,SR,2
0,143,1564,0,0,20.8086,9.2283,10.1535,0.0,0.0,1746,1445,0,0,5.49,14.27,0.0,0.0,247,0.0,0.0,0.0,one,SR,1
0,144,373,0,0,16.4755,7.5614,7.7614,0.0,0.0,1423,1059,0,0,4.57,11.53,0.0,0.0,192,0.0,0.0,0.0,one,SR,1
0,145,1786,0,0,14.8052,8.1311,5.7504,0.0,0.0,1092,735,0,0,3.15,9.24,0.0,0.0,13,0.0,0.0,0.0,one,SR,1
0,149,9342,308,0,42.4675,16.6591,11.0835,12.5424,0.0,1707,1195,1707,0,-1.72,10.02,11.81,0.0,204,0.0,204.0,0.0,many,SR,2
0,156,5805,676,0,48.2917,17.6681,14.0302,14.0886,0.0,2054,1688,1603,0,-0.98,12.61,12.44,0.0,333,58.0,0.0,0.0,many,SR,2
0,157,7370,5580,0,46.874,17.5965,13.6648,13.2175,0.0,3567,1543,1578,0,15.9,12.06,11.89,0.0,270,0.0,62.0,0.0,many,SR,2
0,164,3209,0,0,18.9744,9.7242,8.0628,0.0,0.0,1433,1108,0,0,4.36,11.87,0.0,0.0,66,0.0,0.0,0.0,one,SR,1
0,166,7815,0,0,14.7315,8.0978,5.7136,0.0,0.0,1131,730,0,0,3.59,9.2,0.0,0.0,13,0.0,0.0,0.0,one,SR,1
0,183,9021,0,0,13.1582,6.2369,5.9715,0.0,0.0,1229,772,0,0,4.36,9.5,0.0,0.0,158,0.0,0.0,0.0,one,SR,1
0,189,9584,1846,0,67.3762,26.1446,22.3186,15.4708,0.0,4054,3156,1801,0,11.59,20.74,13.69,0.0,330,236.0,0.0,0.0,many,SR,2
0,191,9217,0,0,21.0137,10.6309,9.0802,0.0,0.0,1511,1271,0,0,4.14,13.03,0.0,0.0,75,0.0,0.0,0.0,one,SR,1
0,192,5562,2585,0,37.3333,14.8769,10.2862,10.2862,0.0,1795,1090,1090,0,1.89,9.42,9.42,0.0,142,0.0,0.0,0.0,many,SR,2
0,193,8099,7378,898,49.0069,19.5272,9.1643,8.6938,9.0853,1908,945,880,937,-2.79,8.59,8.24,8.54,225,1.0,-1.0,3.0,many,SR,3
0,194,8271,0,0,21.954,10.6347,9.9213,0.0,0.0,1631,1406,0,0,4.54,13.98,0.0,0.0,133,0.0,0.0,0.0,one,SR,1
0,195,7451,428,0,42.9043,17.6632,9.6396,13.4808,0.0,1672,1006,1672,0,-1.53,8.94,12.26,0.0,97,0.0,97.0,0.0,many,SR,2
0,199,3022,0,0,32.4905,14.3395,15.8993,0.0,0.0,3035,2497,0,0,11.6,22.52,0.0,0.0,404,0.0,0.0,0.0,one,SR,1
0,204,7812,0,0,17.4155,9.0602,7.2592,0.0,0.0,1101,979,0,0,1.7,10.96,0.0,0.0,55,0.0,0.0,0.0,one,SR,1
0,210,5110,0,0,17.3647,9.2742,7.0219,0.0,0.0,1254,940,0,0,3.55,10.69,0.0,0.0,24,0.0,0.0,0.0,one,SR,1
0,214,6487,0,0,20.009,10.3596,8.4218,0.0,0.0,1537,1165,0,0,5.09,12.28,0.0,0.0,47,0.0,0.0,0.0,one,SR,1
0,218,8331,4337,463,75.7734,31.0478,13.871,13.2122,13.8918,1870,1573,1753,1870,-14.12,12.25,12.3,12.96,185,0.0,172.0,185.0,many,SR,3
0,220,1074,1024,0,32.8229,12.976,9.9134,8.1975,0.0,1248,1213,817,0,-2.52,9.49,7.87,0.0,181,111.0,0.0,0.0,many,SR,2
0,223,4245,4243,470,64.2147,26.6085,10.6315,10.6315,13.1996,1660,1136,1136,1660,-10.86,9.68,9.68,12.07,115,0.0,0.0,115.0,many,SR,3
0,224,3019,3018,0,41.6407,17.7404,10.9577,10.9577,0.0,1453,1179,1179,0,-2.61,9.92,9.92,0.0,9,0.0,0.0,0.0,many,SR,2
0,225,8749,5655,0,39.1292,16.3059,9.9973,10.8944,0.0,1629,1124,1214,0,-0.28,9.35,9.96,0.0,74,46.0,28.0,0.0,many,SR,2
0,228,7798,1740,0,33.1511,13.8575,8.8136,8.8136,0.0,1140,898,898,0,-3.03,8.33,8.33,0.0,78,0.0,0.0,0.0,many,SR,2
0,231,7741,7740,0,44.2167,17.1611,12.4264,12.4264,0.0,1559,1371,1371,0,-3.45,11.01,11.01,0.0,182,0.0,0.0,0.0,many,SR,2
0,233,8111,0,0,17.1153,8.2914,7.6804,0.0,0.0,1595,1046,0,0,6.46,11.44,0.0,0.0,137,0.0,0.0,0.0,one,SR,1
0,234,7519,4802,82,59.2356,23.7431,10.9718,11.6912,9.8265,1488,1420,1311,1030,-11.4,10.41,10.54,9.08,224,155.0,24.0,0.0,many,SR,3
0,237,3268,3267,520,71.1167,30.1629,11.177,11.177,15.2309,1784,1208,1208,1784,-11.59,10.09,10.09,13.51,11,0.0,0.0,11.0,many,SR,3
0,238,8406,0,0,16.2634,7.6911,7.4542,0.0,0.0,1381,1010,0,0,4.44,11.18,0.0,0.0,162,0.0,0.0,0.0,one,SR,1
0,243,4666,4665,0,51.9265,19.2357,15.0177,15.0177,0.0,2302,1736,1736,0,0.27,13.28,13.28,0.0,318,0.0,0.0,0.0,many,SR,2
0,244,6752,1878,0,49.4291,19.328,13.7373,13.91,0.0,2256,1602,1586,0,1.6,12.24,12.3,0.0,188,31.0,5.0,0.0,many,SR,2
0,246,7621,541,0,34.6338,14.0064,8.4474,10.3781,0.0,1336,850,1336,0,-2.19,8.06,9.96,0.0,151,0.0,151.0,0.0,many,SR,2
0,247,6057,5918,0,38.587,15.9194,10.5164,10.2462,0.0,1576,1149,1086,0,-0.6,9.65,9.4,0.0,84,18.0,0.0,0.0,many,SR,2
0,250,5335,0,0,20.3236,10.3337,8.7284,0.0,0.0,1671,1213,0,0,6.19,12.62,0.0,0.0,70,0.0,0.0,0.0,one,SR,1
0,254,5860,0,0,35.0099,16.6616,16.0724,0.0,0.0,3370,2528,0,0,14.9,22.76,0.0,0.0,261,0.0,0.0,0.0,one,SR,1
0,259,7462,4171,0,39.1048,15.2574,10.9329,10.9329,0.0,1642,1176,1176,0,-0.59,9.91,9.91,0.0,176,0.0,0.0,0.0,many,SR,2
0,262,2050,1598,940,111.4668,44.219,7.4414,27.0529,27.164,3858,721,3555,3485,-9.8,7.32,24.34,24.24,415,2.0,63.0,9.0,many,SR,3
0,267,368,0,0,25.0468,13.0831,10.4882,0.0,0.0,1776,1507,0,0,5.37,14.75,0.0,0.0,14,0.0,0.0,0.0,one,SR,1
0,269,3398,0,0,14.0559,7.0753,6.0251,0.0,0.0,1133,780,0,0,3.3,9.55,0.0,0.0,104,0.0,0.0,0.0,one,SR,1
0,270,8527,94,0,37.1234,15.4245,9.075,10.7903,0.0,1208,932,1163,0,-3.82,8.52,9.81,0.0,74,0.0,4.0,0.0,many,SR,2
0,271,9810,0,0,13.654,5.9469,6.6773,0.0,0.0,1447,885,0,0,5.93,10.3,0.0,0.0,227,0.0,0.0,0.0,one,SR,1
0,272,5434,4513,607,74.9025,31.0695,11.2884,14.4042,14.5259,1825,1243,1651,1825,-13.37,10.21,12.73,13.21,100,14.0,2.0,100.0,many,SR,3
