station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,9,6311,0,0,11.4744,7.1913,3.1145,0.0,0.0,1481,721,0,0,5.03,11.69,0.0,0.0,227,0.0,0.0,0.0,one,SR,1
0,14,4151,3118,0,30.1746,16.378,5.8803,5.8803,0.0,1846,816,816,0,1.06,10.18,10.18,0.0,133,0.0,0.0,0.0,many,SR,2
0,15,4842,0,0,30.8296,22.105,6.029,0.0,0.0,2618,2089,0,0,3.23,26.96,0.0,0.0,147,0.0,0.0,0.0,one,SR,1
0,17,4515,0,0,19.7352,13.8561,4.2566,0.0,0.0,1364,1149,0,0,-0.28,16.23,0.0,0.0,51,0.0,0.0,0.0,one,SR,1
0,18,30,0,0,19.9933,14.2474,4.1636,0.0,0.0,1111,1111,0,0,-2.57,15.82,0.0,0.0,0,0.0,0.0,0.0,one,SR,1
0,27,7808,2905,1154,65.5871,36.9941,7.4381,9.1945,7.5787,2633,1182,1769,1171,-11.79,13.11,17.51,13.2,167,22.0,116.0,0.0,many,SR,3
0,28,7671,3769,2707,66.6767,38.1114,8.1618,8.1637,7.9959,2267,1293,1299,1258,-14.39,14.24,14.26,13.94,6,0.0,3.0,0.0,many,SR,3
0,31,7536,0,0,17.2134,12.2432,3.6044,0.0,0.0,1392,907,0,0,2.32,13.66,0.0,0.0,4,0.0,0.0,0.0,one,SR,1
0,36,2244,0,0,15.9945,10.7069,3.8326,0.0,0.0,1230,991,0,0,-0.18,14.55,0.0,0.0,163,0.0,0.0,0.0,one,SR,1
0,41,5916,1814,66,65.8219,37.3861,7.0397,7.0397,9.924,2073,1057,1057,2073,-18.12,12.23,12.23,19.86,171,0.0,0.0,171.0,many,SR,3
0,42,6816,6653,2199,60.6028,34.1393,8.4531,8.6966,5.2843,1573,1513,1406,842,-19.75,15.39,15.19,9.72,145,85.0,1.0,80.0,many,SR,3
0,46,5574,5573,0,49.7096,27.8914,9.2619,9.2619,0.0,1862,1543,1543,0,-10.1,16.47,16.47,0.0,120,0.0,0.0,0.0,many,SR,2
0,47,4265,3549,0,33.7926,19.1191,5.935,6.5588,0.0,1084,827,993,0,-8.24,10.27,11.52,0.0,34,0.0,19.0,0.0,many,SR,2
0,48,3796,0,0,19.4012,13.0377,4.6053,0.0,0.0,1895,1277,0,0,4.07,17.58,0.0,0.0,190,0.0,0.0,0.0,one,SR,1
0,51,1293,0,0,19.5208,13.3957,4.4336,0.0,0.0,1740,1214,0,0,3.05,16.91,0.0,0.0,125,0.0,0.0,0.0,one,SR,1
0,58,4085,2906,0,45.4106,24.8018,8.7727,8.7727,0.0,2225,1420,1420,0,-4.21,15.32,15.32,0.0,189,0.0,0.0,0.0,many,SR,2
0,59,5347,3207,0,33.1221,18.5201,6.2218,6.2218,0.0,1145,888,888,0,-7.4,10.79,10.79,0.0,62,0.0,0.0,0.0,many,SR,2
0,61,6701,0,0,29.5629,20.3065,6.3338,0.0,0.0,2522,2282,0,0,0.18,29.23,0.0,0.0,409,0.0,0.0,0.0,one,SR,1
0,62,8069,0,0,16.4246,11.0825,3.8745,0.0,0.0,1501,1003,0,0,2.55,14.68,0.0,0.0,145,0.0,0.0,0.0,one,SR,1
0,63,6919,3567,0,39.17,21.8733,7.9167,6.8048,0.0,1408,1277,1008,0,-8.39,13.94,11.81,0.0,89,19.0,0.0,0.0,many,SR,2
0,67,7638,7637,6072,60.0581,33.759,8.0083,8.0083,6.3396,1434,1326,1326,911,-20.43,14.22,14.22,10.99,118,35.0,35.0,0.0,many,SR,3
0,69,7889,7888,0,37.6741,21.2354,7.0014,7.0014,0.0,1179,1051,1051,0,-9.54,12.18,12.18,0.0,47,0.0,0.0,0.0,many,SR,2
0,74,6481,0,0,17.3745,12.3554,3.6416,0.0,0.0,1202,918,0,0,0.22,13.78,0.0,0.0,3,0.0,0.0,0.0,one,SR,1
0,75,846,0,0,13.8234,9.5723,3.0899,0.0,0.0,1160,714,0,0,1.73,11.61,0.0,0.0,60,0.0,0.0,0.0,one,SR,1
0,83,5670,0,0,15.3664,10.2985,3.6744,0.0,0.0,1372,933,0,0,1.86,13.93,0.0,0.0,153,0.0,0.0,0.0,one,SR,1
0,84,6815,1349,0,44.153,25.1468,8.061,8.114,0.0,1422,1270,1314,0,-10.55,14.04,14.27,0.0,23,0.0,17.0,0.0,many,SR,2
0,85,9782,0,0,15.3695,10.7972,3.3209,0.0,0.0,1129,799,0,0,0.59,12.51,0.0,0.0,32,0.0,0.0,0.0,one,SR,1
0,88,4454,1523,0,36.5023,19.9324,6.6727,7.3313,0.0,1349,1315,1119,0,-8.93,12.9,12.76,0.0,216,179.0,0.0,0.0,many,SR,2
0,92,1191,0,0,15.6472,11.0393,3.346,0.0,0.0,1156,809,0,0,0.78,12.62,0.0,0.0,22,0.0,0.0,0.0,one,SR,1
0,100,8566,8564,3028,62.3051,35.7104,6.1076,6.1076,10.298,1946,863,863,1940,-16.3,10.58,10.58,19.66,70,0.0,0.0,60.0,many,SR,3
0,101,1463,0,0,18.5994,12.6339,4.3208,0.0,0.0,1576,1170,0,0,1.74,16.45,0.0,0.0,148,0.0,0.0,0.0,one,SR,1
0,106,8571,0,0,19.3947,13.4968,4.2711,0.0,0.0,1927,1153,0,0,5.59,16.27,0.0,0.0,78,0.0,0.0,0.0,one,SR,1
0,108,9385,6299,0,38.8004,21.4559,6.7742,7.9901,0.0,2331,1004,1280,0,1.25,11.78,14.02,0.0,121,0.0,12.0,0.0,many,SR,2
0,110,9484,0,0,33.0906,23.228,6.6742,0.0,0.0,2903,2508,0,0,1.79,31.88,0.0,0.0,373,0.0,0.0,0.0,one,SR,1
0,111,6812,1697,0,33.802,18.1969,6.2758,6.9506,0.0,1328,1107,1040,0,-7.46,11.7,12.09,0.0,219,112.0,0.0,0.0,many,SR,2
0,119,9104,242,0,33.2902,18.3521,6.1402,6.482,0.0,1260,871,1260,0,-7.61,10.65,12.51,0.0,170,0.0,170.0,0.0,many,SR,2
0,120,9481,0,0,16.6011,10.8609,4.1579,0.0,0.0,1461,1111,0,0,1.1,15.82,0.0,0.0,231,0.0,0.0,0.0,one,SR,1
0,125,4073,0,0,17.0982,11.1965,4.2738,0.0,0.0,1857,1154,0,0,4.85,16.28,0.0,0.0,236,0.0,0.0,0.0,one,SR,1
0,127,5397,1608,0,31.9844,17.5689,6.2809,5.8928,0.0,1233,1233,819,0,-7.23,12.21,10.21,0.0,178,178.0,0.0,0.0,many,SR,2
0,129,2483,0,0,21.9251,15.3776,4.7363,0.0,0.0,1438,1327,0,0,-1.2,18.11,0.0,0.0,63,0.0,0.0,0.0,one,SR,1
0,130,791,0,0,23.4204,16.516,4.9945,0.0,0.0,1753,1420,0,0,1.22,19.1,0.0,0.0,46,0.0,0.0,0.0,one,SR,1
0,131,6757,0,0,35.2834,25.6978,6.5171,0.0,0.0,3659,2406,0,0,10.8,30.68,0.0,0.0,131,0.0,0.0,0.0,one,SR,1
0,137,8046,1224,0,29.274,16.1272,5.5922,5.5926,0.0,1335,828,756,0,-3.64,9.95,9.67,0.0,105,39.0,0.0,0.0,many,SR,2
0,143,1564,0,0,20.8086,13.8312,5.0391,0.0,0.0,1746,1445,0,0,0.89,19.38,0.0,0.0,247,0.0,0.0,0.0,one,SR,1
0,144,373,0,0,16.4755,10.9306,4.0178,0.0,0.0,1423,1059,0,0,1.2,15.27,0.0,0.0,192,0.0,0.0,0.0,one,SR,1
0,145,1786,0,0,14.8052,10.4695,3.1522,0.0,0.0,1092,735,0,0,0.81,11.83,0.0,0.0,13,0.0,0.0,0.0,one,SR,1
0,149,9342,308,0,42.4675,23.5641,7.6957,8.2579,0.0,1707,1195,1707,0,-8.62,13.4,16.09,0.0,204,0.0,204.0,0.0,many,SR,2
0,156,5805,676,0,48.2917,26.0237,9.3457,9.4891,0.0,2054,1688,1603,0,-9.33,17.29,17.04,0.0,333,58.0,0.0,0.0,many,SR,2
0,157,7370,5580,0,46.874,25.4588,9.2543,8.8921,0.0,3567,1543,1578,0,8.03,16.47,16.22,0.0,270,0.0,62.0,0.0,many,SR,2
0,164,3209,0,0,18.9744,13.2493,4.1461,0.0,0.0,1433,1108,0,0,0.84,15.79,0.0,0.0,66,0.0,0.0,0.0,one,SR,1
