station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,15,9766,3470,0,52.9444,25.4039,11.169,14.67,0.0,2485,780.0,1081.0,0.0,10.78,7.66,9.35,0.0,14,0.0,3.0,0.0,many,SR,2
0,4118,8510,5186,0,69.5433,26.6089,18.1918,22.3074,0.0,1836,1375.0,1745.0,0.0,-2.64,11.04,13.31,0.0,157,0.0,3.0,0.0,many,SR,2
0,4125,9455,3992,0,75.3757,30.8905,20.9445,21.0246,0.0,2426,1619.0,1649.0,0.0,2.83,12.54,12.62,0.0,99,0.0,17.0,0.0,many,SR,2
0,35,533,56,0,53.483,21.7928,14.1752,15.6229,0.0,1164,1035.0,1164.0,0.0,-4.81,9.11,9.81,0.0,5,0.0,5.0,0.0,many,SR,2
0,2086,1447,0,0,24.055,13.5728,9.5104,0.0,0.0,1226,803.0,0.0,0.0,4.13,9.72,0.0,0.0,15,0.0,0.0,0.0,one,SR,1
11,4131,6476,3139,0,86.1493,24.4095,28.5822,31.239,0.0,1940,3257.0,2516.0,0.0,3.1,14.71,12.48,0.0,50,869.0,251.0,0.0,many,RT,2
0,2090,5576,0,0,26.3193,13.9994,11.2316,0.0,0.0,1487,968.0,0.0,0.0,5.82,10.88,0.0,0.0,106,0.0,0.0,0.0,one,SR,1
160,4145,6590,0,0,96.1404,31.0,63.1366,0.0,0.0,3373,4356.0,0.0,0.0,17.38,25.04,0.0,0.0,58,-318.0,0.0,0.0,one,TR,1
246,54,8547,6888,386,110.0781,25.6971,26.8141,22.2909,32.8326,1489,2855.0,2411.0,3505.0,-6.36,11.82,10.82,12.8,133,760.0,657.0,961.0,many,RT,3
0,2102,9084,4099,0,134.6977,53.6799,36.0252,40.5184,0.0,3439,2969.0,3439.0,0.0,-4.16,21.04,23.7,0.0,49,0.0,49.0,0.0,many,SR,2
0,4170,3764,3763,0,77.5299,31.068,21.9215,21.9215,0.0,2132,1707.0,1707.0,0.0,-1.18,13.09,13.09,0.0,74,0.0,0.0,0.0,many,SR,2
0,4173,6807,6542,0,51.0092,20.5343,13.6996,14.9366,0.0,1185,995.0,1120.0,0.0,-4.11,8.88,9.51,0.0,51,0.0,15.0,0.0,many,SR,2
240,81,6354,0,0,67.804,20.5322,45.6293,0.0,0.0,2374,3237.0,0.0,0.0,10.14,20.42,0.0,0.0,220,-199.0,0.0,0.0,one,TR,1
160,85,5258,0,0,24.5501,9.8165,14.0405,0.0,0.0,1165,1489.0,0.0,0.0,5.99,9.93,0.0,0.0,68,335.0,0.0,0.0,one,RT,1
252,2136,4549,0,0,78.1046,16.3288,60.5192,0.0,0.0,1515,3880.0,0.0,0.0,4.6,17.57,0.0,0.0,69,-236.0,0.0,0.0,one,RT,1
0,2150,1242,0,0,27.9539,13.7724,12.9744,0.0,0.0,1428,1136.0,0.0,0.0,4.13,12.07,0.0,0.0,162,0.0,0.0,0.0,one,SR,1
0,2152,2153,0,0,42.9147,22.9294,18.3788,0.0,0.0,2715,1674.0,0.0,0.0,14.05,16.06,0.0,0.0,151,0.0,0.0,0.0,one,SR,1
0,4199,834,833,801,63.0058,23.8092,12.0499,12.0499,12.6182,1195,855.0,855.0,1072.0,-9.76,8.09,8.09,8.61,185,0.0,0.0,125.0,many,SR,3
0,108,2740,0,0,42.5945,22.6556,18.3364,0.0,0.0,2277,1669.0,0.0,0.0,9.49,16.02,0.0,0.0,67,0.0,0.0,0.0,one,SR,1
7,4222,8689,1366,0,66.0271,17.2263,28.3138,18.9374,0.0,1233,2544.0,1844.0,0.0,-1.0,12.68,9.82,0.0,99,400.0,400.0,0.0,many,RT,2
0,127,5397,0,0,28.03,14.7478,12.1323,0.0,0.0,1055,1055.0,0.0,0.0,0.73,11.5,0.0,0.0,0,0.0,0.0,0.0,one,SR,1
