ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,num_matches,num_SR,num_RT,num_TR,num_1,num_2,num_3,Mr_ave,Mr_std,Md_ave,Md_std,Mu_ave,Mu_std,time_feasible,appr_obj,appr_time,appr_iter,appr_theta,appr_matches,appr_matched_r,appr_matched_d,appr_SR,appr_RT,appr_TR,appr_1,appr_2,appr_3,broken_ratio,broken,broken_r,broken_d,broken_min,broken_max,broken_ave,broken_std,r_min,r_max,r_ave,r_std,d_min,d_max,d_ave,d_std
1,1070,714,356,96,381,237,38097,3089,22207,12801,34278,3440,379,59.23669468,169.1599818,107.0140449,159.369394,75.13271028,167.4864903,0.0995,12278.2847,0.0474,12,736,331,379,331,205,80,46,290,34,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1135,852,283,125,475,252,8620,1212,5897,1511,8391,229,0,10.38615023,39.40350364,30.45936396,46.52345746,15.39118943,42.19712824,0.0294,5262.1958,0.0146,8,449,241,262,241,146,57,38,220,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1215,810,405,120,439,251,30248,2439,20145,7664,28754,1379,115,39.32962963,123.259252,74.68641975,115.9595414,51.11522634,122.018719,0.0822,12781.3883,0.0573,14,877,365,410,365,226,87,52,324,37,4,0.82,1,3,1,0.46,2.45,1.13,0.81,0.46,1.15,0.69,0.33,2.45,2.45,2.45,0
4,1451,1089,362,172,610,307,44194,3348,29876,10970,39683,4151,360,45.05509642,132.1519727,122.0828729,165.4343481,64.27222605,145.072651,0.1352,13839.803,0.0548,12,805,349,433,349,204,93,52,272,70,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1639,1093,546,146,627,320,75033,5105,53935,15993,64401,9162,1470,79.72095151,273.3275416,137.4230769,185.4291294,98.94325808,249.0270852,0.2364,19900.5631,0.2015,19,1359,515,618,515,324,132,59,424,79,12,1.17,3,5,3,0.03,1.87,0.47,0.61,0.03,0.62,0.17,0.23,0.12,1.87,0.97,0.72
6,1782,1337,445,187,721,429,109028,7061,71530,30437,89659,17210,2159,97.64846672,329.4048676,245.0067416,328.4636247,134.4466891,335.2929322,0.4126,18980.7602,0.1801,16,1210,433,580,433,268,106,59,306,107,20,1.39,3,5,3,0.01,10.74,2.7,4.22,0.01,10.74,2.35,4.2,0.09,9.19,3.3,4.17
7,1828,1219,609,178,666,375,62353,6184,42605,13564,55249,6235,869,57.69155045,158.7612528,102.3858785,128.8493368,72.58150985,150.9398181,0.2969,14471.3318,0.1456,15,1450,577,702,577,349,146,82,462,105,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1950,1300,650,171,727,402,67226,6293,43553,17380,57607,8925,694,59.64538462,203.9692275,103.4246154,108.7406145,74.23846154,179.1732497,0.2726,15130.9212,0.1628,14,1535,609,726,609,402,133,74,502,97,10,0.49,2,3,2,0.03,13.5,3.12,5.21,0.03,13.5,4.58,6.31,0.89,0.96,0.93,0.03
9,2177,1633,544,237,909,487,77646,6629,55101,15916,65072,10974,1600,56.22780159,205.8934993,142.7316176,208.8559559,77.84382177,210.0042313,0.321,21989.5415,0.1679,15,1298,525,694,525,350,114,61,377,127,21,0.95,2,4,2,0,0.95,0.48,0.35,0,0.67,0.28,0.25,0.8,0.95,0.87,0.08
10,2228,1486,742,199,846,441,73574,7709,49550,16315,60565,10338,2671,60.06325707,171.0624626,99.15633423,124.646248,73.08258528,158.2109652,0.3013,17784.409,0.2438,18,1687,673,847,673,443,141,89,520,132,21,0.3,1,2,1,1.77,11.06,4.99,4.3,2.13,11.06,6.6,4.46,1.77,1.77,1.77,0
11,2371,1779,592,250,977,552,192944,13450,127612,51882,152115,31685,9144,136.5469365,414.8886675,325.9189189,434.3590574,183.8300295,427.7611182,0.9507,27192.9987,0.7708,33,1901,588,840,588,365,141,82,379,166,43,1.7,5,9,5,0.12,13.79,3.7,4.7,0.12,13.79,4.81,5.47,0.63,4.37,1.72,1.37
12,2415,1610,805,215,902,493,61646,5911,42336,13399,49364,10138,2144,47.24968944,243.3991247,76.57888199,99.40746339,57.02608696,207.3174533,0.2108,17908.0069,0.3666,24,1663,726,865,726,467,169,90,607,99,20,0.41,2,2,2,0.09,5.75,2.52,2.2,0.09,0.96,0.53,0.44,3.29,5.75,4.52,1.23
13,2710,2033,677,291,1143,599,96987,10396,64269,22322,70867,19218,6902,63.94933596,244.2546728,143.2599705,199.5838368,83.76236162,236.4025625,0.4534,18591.4394,0.4606,28,1701,654,887,654,440,131,83,454,167,33,0.15,1,1,1,0.34,7.09,3.72,3.37,7.09,7.09,7.09,0,0.34,0.34,0.34,0
14,2845,2134,711,298,1215,621,124083,12107,85695,26281,82302,29253,12528,83.59512652,395.2866696,174.5189873,314.5886415,106.3181019,378.7940438,0.7263,20336.3667,0.3009,14,1810,695,954,695,457,155,83,475,181,39,1.15,4,5,4,0.16,2.63,1.15,0.81,0.16,2.63,1.19,0.95,0.22,1.83,1.09,0.58
15,2944,2208,736,295,1272,641,130014,13231,85446,31337,97934,25757,6323,76.27581522,323.6317569,176.6494565,257.202349,101.3692255,311.4168193,0.6663,32297.4986,0.5729,25,2028,715,1011,715,476,159,80,467,200,48,1.12,4,6,4,0.01,13.42,1.68,3.93,0.04,13.42,2.4,4.94,0.01,1.14,0.61,0.46
16,3051,2289,762,334,1258,697,343458,21231,233116,89111,244338,75005,24115,203.8851027,631.5779765,450.7322835,594.8403471,265.5362176,631.7083461,1.7198,35963.885,0.7866,19,2557,759,1138,759,482,163,114,437,265,57,2.37,8,15,8,0,28.02,2.52,5.64,0,28.02,2.75,6.83,0.09,5.59,2.09,1.86
17,3145,2359,786,325,1314,720,246725,15033,175884,55808,186144,46980,13601,136.0351844,431.8928508,313.8994911,432.7512038,180.4871224,438.9161154,1.1828,35071.0762,0.9583,29,2339,775,1080,775,488,196,91,529,187,59,1.68,5,10,5,0.02,3.89,0.76,0.93,0.04,3.89,0.87,1.04,0.02,1.31,0.55,0.59
18,3358,2519,839,362,1417,740,336085,19271,253394,63420,225379,78075,32631,190.3223501,912.1948639,400.5780691,592.3052364,242.8549732,848.6095948,1.7675,38556.8359,1.4385,23,2656,833,1203,833,510,207,116,520,256,57,1.32,5,10,5,0.03,32.67,2.64,8.04,0.03,32.67,3.68,9.68,0.06,1.08,0.55,0.43
19,3389,2260,1129,328,1271,661,121166,12798,79628,28740,90956,21614,8596,70.7840708,275.9392445,107.3215235,148.5277447,82.95603423,241.7071699,0.4835,26527.9356,0.4842,17,2464,1013,1259,1013,680,208,125,788,204,21,0.69,3,5,3,0.01,10.58,1.89,3.37,0.01,2.34,0.75,0.92,0.13,10.58,3.8,4.81
20,3465,2310,1155,320,1319,671,403094,30493,294095,78506,272913,98929,31252,244.3839827,703.9492456,348.9991342,415.548201,279.2556999,624.7841249,2.7885,32874.8757,1.6543,25,3486,1109,1590,1109,713,256,140,700,337,72,1.62,7,12,6,0.07,5.93,0.9,1.34,0.07,5.93,0.89,1.59,0.27,1.88,0.94,0.56
21,3744,2496,1248,340,1387,769,241009,26102,162994,51913,172378,50252,18379,131.4178686,502.3498042,193.1161859,266.6125108,151.9839744,439.0636517,1.5563,32648.5718,1.139,21,3213,1166,1555,1166,816,212,138,834,275,57,1.46,7,12,7,0,9.06,1.26,2,0,9.06,1.45,2.44,0.35,2.58,0.94,0.73
22,3867,2578,1289,321,1433,824,154763,17196,102322,35245,115514,30120,9129,78.79790535,313.3610296,120.064391,172.941825,92.55340057,275.3388376,0.8139,30947.222,0.9118,25,2858,1158,1479,1158,765,247,146,875,245,38,0.78,6,5,6,0.01,7.18,1.77,2.02,0.01,1.16,0.32,0.44,1.33,7.18,2.98,2.02
23,3986,2990,996,393,1661,936,244051,23805,160445,59801,177733,50607,15711,109.0568562,355.8803105,245.0311245,383.1519014,143.0333668,367.6308491,1.4672,46383.8138,0.9244,23,2887,977,1450,977,654,208,115,585,311,81,1.84,8,15,8,0.02,26.34,2.4,5.84,0.02,26.34,3.1,7.1,0.22,2.84,1.1,0.96
24,4195,2797,1398,376,1562,859,658432,37113,496848,124471,457982,149345,51105,325.3439399,1235.275816,470.981402,682.0139785,373.8781883,1084.949632,3.2618,59480.0417,2.2094,18,4082,1334,1847,1334,872,301,161,895,365,74,0.97,7,13,7,0.01,19.7,3.75,6.03,0.01,19.7,5.29,6.94,0.04,3.86,0.88,1.3
25,4252,2835,1417,394,1584,857,656584,38005,478370,140209,410533,162790,83261,347.7587302,1509.443308,463.3620325,694.2982278,386.2841016,1297.204568,3.1094,59590.1791,5.1649,33,4308,1347,1870,1347,900,282,165,896,379,72,1.93,11,25,11,0,25.7,1.82,4.37,0,25.7,1.77,4.96,0.05,9.17,1.95,2.54
26,4540,3405,1135,491,1866,1048,412343,35780,234955,141608,213304,100599,98440,208.4646109,883.9735199,363.2977974,768.7967046,247.1729075,859.2519874,2.3877,36835.8555,3.8526,47,3508,1118,1696,1118,759,226,133,643,372,103,1.25,6,11,6,0.02,6.96,1.48,1.8,0.02,6.96,1.68,2.03,0.06,3.61,1.09,1.18
