station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,22,8122,6245,0,27.7437,10.7876,7.6195,7.7899,0.0,1256,918.0,812.0,0.0,-0.73,7.8,7.67,0.0,214,114.0,31.0,0.0,many,SR,2
0,29,8011,0,0,33.5152,14.9228,16.2851,0.0,0.0,3131,2568.0,0.0,0.0,12.11,23.07,0.0,0.0,399,0.0,0.0,0.0,one,SR,1
0,4131,1373,0,0,22.4057,10.8946,10.0937,0.0,0.0,2017,1433.0,0.0,0.0,8.42,14.17,0.0,0.0,127,0.0,0.0,0.0,one,SR,1
247,4132,6704,0,0,29.326,8.9998,19.1635,0.0,0.0,1593,2706.0,0.0,0.0,6.26,14.63,0.0,0.0,100,424.0,0.0,0.0,one,TR,1
0,4136,8964,8416,6491,48.8788,20.1991,8.3398,9.7464,8.0582,1296,855.0,1296.0,798.0,-9.21,8.01,9.57,7.76,179,13.0,179.0,0.0,many,SR,3
0,42,6338,2575,0,45.9927,18.771,12.5793,12.4197,0.0,1512,1407.0,1399.0,0.0,-4.13,11.16,11.06,0.0,84,10.0,19.0,0.0,many,SR,2
0,4152,1606,0,0,37.6786,16.9182,18.1818,0.0,0.0,3519,2914.0,0.0,0.0,13.74,25.79,0.0,0.0,429,0.0,0.0,0.0,one,SR,1
0,68,746,0,0,16.7491,7.2921,8.2492,0.0,0.0,1318,1137.0,0.0,0.0,2.97,12.08,0.0,0.0,244,0.0,0.0,0.0,one,SR,1
0,4168,7272,792,0,30.8693,11.7432,8.7549,8.6759,0.0,1259,1107.0,881.0,0.0,-2.04,8.72,8.23,0.0,240,140.0,1.0,0.0,many,SR,2
0,4169,1885,0,0,16.6428,8.9427,6.6711,0.0,0.0,1324,884.0,0.0,0.0,4.64,10.29,0.0,0.0,22,0.0,0.0,0.0,one,SR,1
0,85,9782,0,0,15.3695,8.2552,6.1454,0.0,0.0,1129,799.0,0.0,0.0,3.13,9.69,0.0,0.0,32,0.0,0.0,0.0,one,SR,1
0,4181,9577,8515,0,37.4932,14.6182,8.6339,12.2913,0.0,1801,1052.0,1369.0,0.0,1.36,8.55,10.95,0.0,200,115.0,10.0,0.0,many,SR,2
0,105,6394,4169,0,31.2541,12.0309,10.0138,7.4784,0.0,1430,1430.0,723.0,0.0,-0.56,9.97,7.34,0.0,242,243.0,0.0,0.0,many,SR,2
0,4211,9211,9209,0,42.3237,16.8016,11.713,11.713,0.0,1985,1277.0,1277.0,0.0,1.98,10.48,10.48,0.0,141,0.0,0.0,0.0,many,SR,2
281,4216,9520,8426,0,44.4953,14.3098,14.1665,14.3628,0.0,1953,2742.0,2716.0,0.0,5.6,12.28,11.28,0.0,41,872.0,898.0,0.0,many,TR,2
85,4238,9292,6180,0,47.6059,9.9651,16.6174,19.7874,0.0,1388,1806.0,3180.0,0.0,3.45,9.19,11.17,0.0,79,196.0,947.0,0.0,many,RT,2
