ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,feas_time,feas_matches,feas_SR,feas_RT,feas_TR,feas_1,feas_2,feas_3,cen_obj,cen_time,cen_matched_r,cen_matched_d,cen_matches,cen_SR,cen_RT,cen_TR,cen_1,cen_2,cen_3,broken_ratio,cen_broken,cen_broken_r,cen_broken_d,cen_broken_min,cen_broken_max,cen_broken_ave,cen_broken_std,cen_r_min,cen_r_max,cen_r_ave,cen_r_std,cen_d_min,cen_d_max,cen_d_ave,cen_d_std
1,1070,714,356,96,381,237,0.0956,38097,3089,22207,12801,34278,3440,379,13325.46,0.0296,408,345,345,189,95,61,291,45,9,58.55,632,230,143,0.01,37.68,5.4,6.11,0.01,37.68,7,7.06,0.02,11.58,2.82,2.53
2,1135,852,283,125,475,252,0.0251,8620,1212,5897,1511,8391,229,0,5888.42,0.0069,283,252,252,121,81,50,221,31,0,48.41,470,198,91,0,22.81,5.65,4.9,0,22.81,7.05,4.98,0.06,20.12,2.61,2.97
3,1215,810,405,120,439,251,0.0662,30248,2439,20145,7664,28754,1379,115,13831.09,0.0256,442,386,386,207,110,69,337,42,7,50,622,208,131,0,35.02,4.93,5.53,0,35.02,6.05,6.45,0.02,13.8,3.15,2.82
4,1451,1089,362,172,610,307,0.1124,44194,3348,29876,10970,39683,4151,360,15193.65,0.0338,468,358,358,156,130,72,261,84,13,61.45,1208,334,163,0,46.18,7.65,7.73,0,46.18,9.9,8.29,0.03,19.47,3.04,3.11
5,1639,1093,546,146,627,320,0.2125,75033,5105,53935,15993,64401,9162,1470,21605.75,0.0598,672,542,542,300,166,76,430,94,18,55.35,1533,393,205,0,49.44,6.29,7.02,0,49.44,7.92,7.86,0.03,19.4,3.16,3.25
6,1782,1337,445,187,721,429,0.3459,109028,7061,71530,30437,89659,17210,2159,20940.51,0.0857,646,445,445,214,148,83,274,141,30,71.69,2300,550,220,0,41.06,6.88,6.6,0,41.06,8.24,7.09,0.01,16.9,3.46,3.23
7,1828,1219,609,178,666,375,0.2561,62353,6184,42605,13564,55249,6235,869,15615.16,0.0499,751,596,596,332,166,98,457,123,16,51.01,862,313,200,0,29.82,4.33,4.69,0,29.82,5.41,5.36,0.02,15.47,2.65,2.62
8,1950,1300,650,171,727,402,0.2334,67226,6293,43553,17380,57607,8925,694,16386.76,0.0533,781,635,635,385,163,87,506,112,17,54.17,1245,387,230,0,29.61,4.3,4.45,0.01,29.61,5.31,5.11,0,10.82,2.61,2.17
9,2177,1633,544,237,909,487,0.2733,77646,6629,55101,15916,65072,10974,1600,23968.87,0.0697,738,540,540,277,163,100,371,140,29,61.85,1835,589,250,0,52.42,8.14,8.07,0,52.42,10.34,8.52,0.01,19.75,2.95,2.97
10,2228,1486,742,199,846,441,0.2549,73574,7709,49550,16315,60565,10338,2671,19244.45,0.0608,903,715,715,440,182,93,555,132,28,55.8,1295,398,286,0,36.03,3.92,4.6,0,36.03,4.87,5.43,0.01,14.46,2.6,2.58
11,2371,1779,592,250,977,552,0.8201,192944,13450,127612,51882,152115,31685,9144,30000.29,0.1705,932,591,591,287,187,117,320,201,70,70.73,3231,826,294,0,50.26,7.42,7.23,0,50.26,8.78,7.72,0,20.86,3.59,3.41
12,2415,1610,805,215,902,493,0.1811,61646,5911,42336,13399,49364,10138,2144,19251.02,0.0507,920,767,767,449,202,116,632,117,18,44.72,837,336,256,0,23.29,3.93,3.73,0.01,23.29,4.94,4.32,0,12.13,2.61,2.13
13,2710,2033,677,291,1143,599,0.4312,96987,10396,64269,22322,70867,19218,6902,20720.38,0.0977,966,669,669,374,184,111,420,201,48,56.8,2038,672,276,0,30.62,5.87,5.29,0,30.62,6.96,5.63,0.01,18.13,3.23,3.05
