station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,12,5226,0,0,40.8712,17.8148,21.2187,0.0,0.0,2556,1969.0,0.0,0.0,10.3,18.38,0.0,0.0,498,0.0,0.0,0.0,one,SR,1
0,2074,3016,0,0,32.8671,15.9096,15.5736,0.0,0.0,1796,1386.0,0.0,0.0,6.4,13.84,0.0,0.0,214,0.0,0.0,0.0,one,SR,1
0,40,6281,0,0,29.2631,14.2526,13.7504,0.0,0.0,2121,1211.0,0.0,0.0,10.93,12.6,0.0,0.0,315,0.0,0.0,0.0,one,SR,1
0,4140,3639,0,0,20.3406,10.6116,8.8054,0.0,0.0,1293,735.0,0.0,0.0,5.26,9.24,0.0,0.0,164,0.0,0.0,0.0,one,SR,1
0,45,65,0,0,39.6764,18.3547,19.6149,0.0,0.0,2556,1802.0,0.0,0.0,11.48,17.07,0.0,0.0,407,0.0,0.0,0.0,one,SR,1
0,69,7888,0,0,27.5897,14.3538,12.0888,0.0,0.0,1179,1051.0,0.0,0.0,2.06,11.47,0.0,0.0,47,0.0,0.0,0.0,one,SR,1
0,76,568,0,0,30.6008,13.9505,15.2863,0.0,0.0,2291,1358.0,0.0,0.0,11.78,13.64,0.0,0.0,418,0.0,0.0,0.0,one,SR,1
0,4176,6166,0,0,64.1417,29.5815,31.8562,0.0,0.0,3369,3074.0,0.0,0.0,11.04,27.04,0.0,0.0,467,0.0,0.0,0.0,one,SR,1
0,4186,5547,0,0,41.7738,22.7804,17.4623,0.0,0.0,2258,1578.0,0.0,0.0,9.93,15.31,0.0,0.0,22,0.0,0.0,0.0,one,SR,1
0,93,6831,0,0,19.3168,9.6636,8.7345,0.0,0.0,1219,728.0,0.0,0.0,4.53,9.19,0.0,0.0,196,0.0,0.0,0.0,one,SR,1
0,2151,4699,0,0,26.9218,13.3655,12.3894,0.0,0.0,1875,1079.0,0.0,0.0,9.19,11.67,0.0,0.0,263,0.0,0.0,0.0,one,SR,1
0,2155,3871,0,0,65.3772,30.4658,32.1815,0.0,0.0,4299,3107.0,0.0,0.0,20.57,27.3,0.0,0.0,638,0.0,0.0,0.0,one,SR,1
0,108,6300,0,0,34.9649,19.3215,14.343,0.0,0.0,2319,1268.0,0.0,0.0,12.65,13.0,0.0,0.0,109,0.0,0.0,0.0,one,SR,1
0,4217,1257,0,0,35.1701,18.4033,15.3949,0.0,0.0,1982,1369.0,0.0,0.0,8.46,13.72,0.0,0.0,117,0.0,0.0,0.0,one,SR,1
0,2181,2623,0,0,28.0726,12.9898,13.8184,0.0,0.0,1814,1217.0,0.0,0.0,7.67,12.64,0.0,0.0,316,0.0,0.0,0.0,one,SR,1
0,4230,528,0,0,26.0252,14.1494,10.8157,0.0,0.0,1195,928.0,0.0,0.0,3.01,10.6,0.0,0.0,20,0.0,0.0,0.0,one,SR,1
0,2197,6870,0,0,22.4268,10.7804,10.6012,0.0,0.0,1269,907.0,0.0,0.0,3.92,10.45,0.0,0.0,208,0.0,0.0,0.0,one,SR,1
0,160,3035,0,0,20.5524,10.5106,9.0984,0.0,0.0,1292,763.0,0.0,0.0,5.08,9.43,0.0,0.0,179,0.0,0.0,0.0,one,SR,1
0,2222,9255,0,0,25.6122,12.245,12.2117,0.0,0.0,1820,1063.0,0.0,0.0,8.71,11.56,0.0,0.0,305,0.0,0.0,0.0,one,SR,1
0,194,835,0,0,29.4279,15.496,12.741,0.0,0.0,1598,1113.0,0.0,0.0,6.06,11.91,0.0,0.0,100,0.0,0.0,0.0,one,SR,1
0,214,7668,0,0,28.5967,15.8808,11.6021,0.0,0.0,1514,1004.0,0.0,0.0,5.87,11.14,0.0,0.0,24,0.0,0.0,0.0,one,SR,1
0,216,4316,0,0,27.7385,12.6667,13.808,0.0,0.0,1851,1216.0,0.0,0.0,8.06,12.64,0.0,0.0,341,0.0,0.0,0.0,one,SR,1
0,2287,2081,0,0,29.2334,14.5854,13.4111,0.0,0.0,1768,1178.0,0.0,0.0,7.43,12.37,0.0,0.0,208,0.0,0.0,0.0,one,SR,1
0,2313,8850,0,0,33.8928,16.6374,15.8524,0.0,0.0,2235,1413.0,0.0,0.0,10.84,14.03,0.0,0.0,282,0.0,0.0,0.0,one,SR,1
0,4370,5209,0,0,26.2316,13.747,11.3856,0.0,0.0,1286,983.0,0.0,0.0,3.61,10.99,0.0,0.0,80,0.0,0.0,0.0,one,SR,1
0,312,4951,0,0,19.1057,9.325,8.8535,0.0,0.0,1481,740.0,0.0,0.0,7.21,9.27,0.0,0.0,276,0.0,0.0,0.0,one,SR,1
0,333,5030,0,0,54.8417,24.1855,28.2462,0.0,0.0,3146,2699.0,0.0,0.0,11.34,24.1,0.0,0.0,564,0.0,0.0,0.0,one,SR,1
0,2382,3672,0,0,27.3855,13.5631,12.6379,0.0,0.0,1749,1104.0,0.0,0.0,7.7,11.85,0.0,0.0,233,0.0,0.0,0.0,one,SR,1
0,346,4588,0,0,26.1856,12.4279,12.5774,0.0,0.0,1581,1098.0,0.0,0.0,5.98,11.8,0.0,0.0,254,0.0,0.0,0.0,one,SR,1
0,349,843,0,0,23.1476,12.2451,9.9046,0.0,0.0,1275,840.0,0.0,0.0,4.41,9.98,0.0,0.0,109,0.0,0.0,0.0,one,SR,1
0,2409,7507,0,0,30.6869,14.9026,14.4753,0.0,0.0,1607,1280.0,0.0,0.0,5.09,13.09,0.0,0.0,190,0.0,0.0,0.0,one,SR,1
0,2433,7161,0,0,24.5458,13.4714,10.0652,0.0,0.0,1491,856.0,0.0,0.0,6.57,10.09,0.0,0.0,97,0.0,0.0,0.0,one,SR,1
0,4504,487,0,0,30.2637,17.9678,11.2089,0.0,0.0,1978,966.0,0.0,0.0,10.99,10.87,0.0,0.0,3,0.0,0.0,0.0,one,SR,1
0,4521,8284,0,0,22.799,11.0713,10.6768,0.0,0.0,2046,915.0,0.0,0.0,12.02,10.51,0.0,0.0,367,0.0,0.0,0.0,one,SR,1
0,431,3968,0,0,23.8068,11.3463,11.3629,0.0,0.0,1531,981.0,0.0,0.0,6.2,10.98,0.0,0.0,261,0.0,0.0,0.0,one,SR,1
0,440,1983,0,0,27.5487,15.2678,11.1947,0.0,0.0,1393,965.0,0.0,0.0,4.85,10.86,0.0,0.0,17,0.0,0.0,0.0,one,SR,1
0,460,6468,0,0,22.3344,11.221,10.1021,0.0,0.0,1230,859.0,0.0,0.0,3.81,10.11,0.0,0.0,160,0.0,0.0,0.0,one,SR,1
0,2518,9985,0,0,27.1547,14.3982,11.6398,0.0,0.0,1829,1008.0,0.0,0.0,9.15,11.17,0.0,0.0,174,0.0,0.0,0.0,one,SR,1
0,4578,7662,0,0,53.1672,27.7306,23.4194,0.0,0.0,2934,2198.0,0.0,0.0,12.65,20.17,0.0,0.0,141,0.0,0.0,0.0,one,SR,1
0,4580,2396,0,0,28.2824,13.8991,13.1635,0.0,0.0,1884,1154.0,0.0,0.0,8.8,12.2,0.0,0.0,262,0.0,0.0,0.0,one,SR,1
0,487,3889,0,0,36.9309,17.5513,17.8186,0.0,0.0,1802,1616.0,0.0,0.0,4.87,15.61,0.0,0.0,213,0.0,0.0,0.0,one,SR,1
0,2578,8877,0,0,37.9357,16.9141,19.3376,0.0,0.0,2822,1773.0,0.0,0.0,14.47,16.84,0.0,0.0,531,0.0,0.0,0.0,one,SR,1
0,572,545,0,0,38.0612,20.841,15.8193,0.0,0.0,2002,1410.0,0.0,0.0,8.41,14.01,0.0,0.0,6,0.0,0.0,0.0,one,SR,1
0,4674,4342,0,0,25.4582,11.8909,12.3998,0.0,0.0,1442,1080.0,0.0,0.0,4.63,11.68,0.0,0.0,246,0.0,0.0,0.0,one,SR,1
0,4690,8189,0,0,27.8604,12.8775,13.7249,0.0,0.0,1863,1208.0,0.0,0.0,8.24,12.58,0.0,0.0,330,0.0,0.0,0.0,one,SR,1
0,4706,6114,0,0,22.6725,9.8827,11.671,0.0,0.0,1508,1011.0,0.0,0.0,5.77,11.19,0.0,0.0,344,0.0,0.0,0.0,one,SR,1
0,612,6797,0,0,26.3523,13.4385,11.7873,0.0,0.0,1288,1022.0,0.0,0.0,3.39,11.27,0.0,0.0,110,0.0,0.0,0.0,one,SR,1
0,4748,6756,0,0,25.6143,11.6345,12.7854,0.0,0.0,1690,1118.0,0.0,0.0,7.0,11.94,0.0,0.0,327,0.0,0.0,0.0,one,SR,1
0,653,1278,0,0,28.5068,13.2092,14.0198,0.0,0.0,1710,1236.0,0.0,0.0,6.45,12.78,0.0,0.0,288,0.0,0.0,0.0,one,SR,1
0,677,1099,0,0,22.9372,13.2545,8.7619,0.0,0.0,1359,731.0,0.0,0.0,5.98,9.21,0.0,0.0,37,0.0,0.0,0.0,one,SR,1
0,678,1867,0,0,24.1649,11.9985,11.0879,0.0,0.0,1525,954.0,0.0,0.0,6.31,10.78,0.0,0.0,216,0.0,0.0,0.0,one,SR,1
0,2739,9972,0,0,42.5235,20.6682,20.1078,0.0,0.0,2228,1854.0,0.0,0.0,7.67,17.48,0.0,0.0,231,0.0,0.0,0.0,one,SR,1
0,711,1070,0,0,27.1284,14.1829,11.8176,0.0,0.0,1392,1024.0,0.0,0.0,4.46,11.28,0.0,0.0,94,0.0,0.0,0.0,one,SR,1
0,722,1973,0,0,24.7783,13.4891,10.2666,0.0,0.0,1542,875.0,0.0,0.0,6.99,10.23,0.0,0.0,114,0.0,0.0,0.0,one,SR,1
0,4827,6449,0,0,29.6016,14.8296,13.5273,0.0,0.0,1742,1189.0,0.0,0.0,7.09,12.45,0.0,0.0,193,0.0,0.0,0.0,one,SR,1
0,2789,4944,0,0,27.2856,12.6469,13.4026,0.0,0.0,1548,1177.0,0.0,0.0,5.13,12.36,0.0,0.0,262,0.0,0.0,0.0,one,SR,1
0,4837,6732,0,0,22.1898,11.1099,10.0699,0.0,0.0,1502,857.0,0.0,0.0,6.68,10.1,0.0,0.0,225,0.0,0.0,0.0,one,SR,1
0,748,8695,0,0,27.6705,13.5594,12.9082,0.0,0.0,2134,1130.0,0.0,0.0,11.58,12.03,0.0,0.0,327,0.0,0.0,0.0,one,SR,1
0,4853,3675,0,0,32.3008,15.2469,15.6644,0.0,0.0,2027,1394.0,0.0,0.0,8.78,13.9,0.0,0.0,303,0.0,0.0,0.0,one,SR,1
0,2817,2923,0,0,24.7516,11.3194,12.2731,0.0,0.0,1560,1068.0,0.0,0.0,5.95,11.59,0.0,0.0,298,0.0,0.0,0.0,one,SR,1
0,787,5805,0,0,42.9749,23.4496,17.9534,0.0,0.0,2558,1630.0,0.0,0.0,12.71,15.72,0.0,0.0,72,0.0,0.0,0.0,one,SR,1
0,799,9393,0,0,20.2625,10.5704,8.7714,0.0,0.0,1455,731.0,0.0,0.0,6.99,9.21,0.0,0.0,201,0.0,0.0,0.0,one,SR,1
0,847,6580,0,0,27.0714,13.1839,12.6994,0.0,0.0,1699,1109.0,0.0,0.0,7.15,11.88,0.0,0.0,244,0.0,0.0,0.0,one,SR,1
0,856,4985,0,0,24.7859,12.7287,10.9859,0.0,0.0,1517,944.0,0.0,0.0,6.29,10.71,0.0,0.0,172,0.0,0.0,0.0,one,SR,1
0,902,9164,0,0,50.9509,26.3253,22.6703,0.0,0.0,4131,2119.0,0.0,0.0,25.78,19.55,0.0,0.0,451,0.0,0.0,0.0,one,SR,1
0,936,1489,0,0,35.5278,19.1718,15.0103,0.0,0.0,2136,1332.0,0.0,0.0,10.32,13.46,0.0,0.0,98,0.0,0.0,0.0,one,SR,1
0,1024,5865,0,0,43.8369,23.4333,18.7658,0.0,0.0,2207,1714.0,0.0,0.0,8.43,16.38,0.0,0.0,27,0.0,0.0,0.0,one,SR,1
0,3081,7452,0,0,36.974,19.3728,16.1743,0.0,0.0,1639,1445.0,0.0,0.0,4.37,14.27,0.0,0.0,16,0.0,0.0,0.0,one,SR,1
0,3109,1800,0,0,39.3836,18.1453,19.5378,0.0,0.0,2729,1794.0,0.0,0.0,13.35,17.0,0.0,0.0,453,0.0,0.0,0.0,one,SR,1
0,3121,292,0,0,21.1463,9.772,10.346,0.0,0.0,1290,883.0,0.0,0.0,4.29,10.28,0.0,0.0,258,0.0,0.0,0.0,one,SR,1
