instance,num_r,num_d,day,centralized,approximate,dynamic,prt_appr,prt_dyn,empty,appr_remain_r,appr_remain_d,cen_remain_r,cen_remain_d,appr_fix,cen_fix
1,714,356,1,13234.37,12034.4777,13234.3702,90.93351402,100.0000015,0,714,356,714,356,0,0
1,714,356,2,13218.18,12042.5706,12882.0736,91.10611748,97.45724147,0,714,356,699,342,0,14
1,714,356,3,13124.7,12065.6133,12407.2457,91.93058356,94.53355658,0,714,356,673,320,0,36
1,714,356,4,13176.87,11988.3721,12410.6593,90.98042327,94.18518434,0,714,356,654,302,0,54
1,714,356,5,13148.7,12138.1167,12543.1255,92.31419608,95.39441542,0,714,356,633,285,0,71
1,714,356,6,13145.77,12099.0805,12463.3043,92.03782281,94.8084768,0,714,356,619,274,0,82
1,714,356,7,13158.87,12013.047,12140.0577,91.29239061,92.25760039,0,714,356,598,257,0,99
1,714,356,8,13160.46,12003.5428,12414.7833,91.20914315,94.33396173,1,714,356,588,247,0,109
1,714,356,9,13212.11,12032.0548,12455.7566,91.06838196,94.27530198,0,714,356,583,243,0,113
1,714,356,10,13188.29,12184.8602,12239.6851,92.39150944,92.80721837,0,714,356,573,235,0,121
1,714,356,11,13128.49,12052.4276,12198.7445,91.80360879,92.91810787,1,714,356,562,225,0,131
1,714,356,12,13123.19,12042.2912,12308.486,91.76344471,93.7918753,0,714,356,557,220,0,136
1,714,356,13,13178.83,12045.6536,12210.6317,91.4015402,92.65338198,0,714,356,552,215,0,141
1,714,356,14,13225.45,12164.4622,12273.3441,91.97768091,92.80095649,0,714,356,544,208,0,148
1,714,356,15,13189.1,12195.506,12221.0869,92.46655193,92.66050678,0,714,356,542,206,0,150
1,714,356,16,13148.41,12011.9486,11952.4592,91.3566629,90.90421732,0,714,356,535,199,0,157
1,714,356,17,13166.22,12056.4008,12090.4326,91.57070746,91.8291856,0,714,356,528,192,0,164
1,714,356,18,13094.12,11966.989,11857.8936,91.39208286,90.55891958,0,714,356,523,187,0,169
1,714,356,19,13194.34,12065.4889,12027.3435,91.4444292,91.15532493,0,714,356,520,184,0,172
1,714,356,20,13173.58,12158.5706,11863.3912,92.2951134,90.05442105,0,714,356,516,180,0,176
1,714,356,21,13054.18,12028.5181,11835.7457,92.14303848,90.66632833,0,714,356,510,174,0,182
1,714,356,22,13141.61,11978.4981,11966.6678,91.1493957,91.059374,0,714,356,506,170,0,186
1,714,356,23,13125.03,11912.3267,11858.2637,90.76037693,90.3484693,1,712,355,506,170,1,186
1,714,356,24,13145.07,12070.6311,11863.7867,91.82629762,90.25274647,0,712,355,504,168,1,188
1,714,356,25,13207.12,12163.1243,11830.3151,92.09520546,89.57528288,0,712,355,502,166,1,190
1,714,356,26,13180.64,12102.672,11995.6238,91.82158074,91.00941836,0,712,355,500,164,1,192
1,714,356,27,13114.19,11985.3239,11668.5465,91.39202574,88.97649416,0,712,355,493,161,1,195
1,714,356,28,13202.46,12098.9852,11864.1911,91.64190007,89.86348832,0,712,355,492,160,1,196
1,714,356,29,13139.89,12096.0481,11539.6901,92.05593121,87.82181662,0,712,355,489,157,1,199
1,714,356,30,13113.24,11942.8071,11770.8188,91.07441868,89.76285647,1,711,354,486,154,2,202
2,852,283,1,5687.64,5068.7151,5687.6357,89.11807182,99.9999244,0,852,283,852,283,0,0
2,852,283,2,5836.8,5241.2504,5400.2486,89.796642,92.52070655,0,852,283,825,258,0,25
2,852,283,3,5693.68,5258.8505,5178.3706,92.36294453,90.94944921,0,852,283,804,239,0,44
2,852,283,4,5747.93,5168.1207,5149.7325,89.91272858,89.59281863,0,852,283,783,219,0,64
2,852,283,5,5850.86,5306.5842,4991.7046,90.69750772,85.31574162,0,852,283,764,200,0,83
2,852,283,6,5905.37,5345.6691,4994.5955,90.5221705,84.57718145,0,852,283,747,183,0,100
2,852,283,7,5884.79,5228.1215,4780.1491,88.84125857,81.22888157,0,852,283,731,168,0,115
2,852,283,8,5940.09,5361.3841,4733.7403,90.25762404,79.6913902,0,852,283,722,159,0,124
2,852,283,9,5832.77,5298.7146,4731.3781,90.84388035,81.11717246,0,852,283,714,151,0,132
2,852,283,10,5876.49,5217.8151,4429.8209,88.79135504,75.38208863,0,852,283,709,147,0,136
2,852,283,11,5888.09,5349.3888,4615.8443,90.85100262,78.39289651,0,852,283,706,144,0,139
2,852,283,12,5737.26,5160.1583,4506.8777,89.94116181,78.55453126,0,852,283,704,142,0,141
2,852,283,13,5871.55,5251.7435,4501.0783,89.44390323,76.65911557,0,852,283,701,139,0,144
2,852,283,14,5789.61,5189.2384,4544.4177,89.63018925,78.4926394,0,852,283,697,135,0,148
2,852,283,15,5799.12,5189.2838,4408.4042,89.48398723,76.01850281,0,852,283,691,129,0,154
2,852,283,16,5776.23,5224.8643,4475.1689,90.45457504,77.47560087,0,852,283,688,126,0,157
2,852,283,17,5738.54,5208.1431,4409.1654,90.75728495,76.83427143,0,852,283,684,122,0,161
2,852,283,18,5835.74,5252.2055,4381.3337,90.00067686,75.07760284,0,852,283,682,120,0,163
2,852,283,19,5783.42,5131.0032,4339.8253,88.71918692,75.03908241,0,852,283,677,115,0,168
2,852,283,20,5890.78,5300.7171,4323.5779,89.98328065,73.39567765,0,852,283,674,112,0,171
2,852,283,21,5927.52,5432.6056,4310.3363,91.6505655,72.71736409,0,852,283,673,111,0,172
2,852,283,22,5810.75,5237.2329,4427.9356,90.13006755,76.20247989,0,852,283,670,108,0,175
2,852,283,23,6047.03,5374.4949,4448.4408,88.87825759,73.56406037,0,852,283,669,107,0,176
2,852,283,24,5826.59,5206.467,4337.6963,89.35701671,74.44656823,0,852,283,669,107,0,176
2,852,283,25,5885.58,5379.1669,4513.2583,91.39569762,76.68332263,0,852,283,667,105,0,178
2,852,283,26,5741.14,5240.119,4322.8841,91.27314436,75.29661531,0,852,283,667,105,0,178
2,852,283,27,5919.92,5349.6167,4462.5606,90.36636813,75.38210989,0,852,283,667,105,0,178
2,852,283,28,5858.75,5371.1059,4495.092,91.67665287,76.72442074,0,852,283,667,105,0,178
2,852,283,29,5831.64,5236.713,4436.7866,89.79829002,76.08128417,0,852,283,666,104,0,179
2,852,283,30,5840.1,5190.1489,4384.322,88.87089091,75.07272136,0,852,283,665,103,0,180
3,810,405,1,13596.63,12526.966,13596.9798,92.1328741,100.0025727,0,810,405,810,405,0,0
3,810,405,2,13684.31,12416.9407,13341.6822,90.73852244,97.49619966,0,810,405,789,385,0,20
3,810,405,3,13524.1,12385.0037,12406.393,91.57728573,91.73544265,0,810,405,747,349,0,56
3,810,405,4,13666.82,12583.2533,12748.235,92.07155212,93.27872175,0,810,405,717,324,0,81
3,810,405,5,13672.38,12684.0424,12238.5674,92.77128342,89.51307234,0,810,405,686,296,0,109
3,810,405,6,13645.04,12596.3864,11850.6982,92.31476346,86.84986046,0,810,405,661,272,0,133
3,810,405,7,13706.35,12598.9145,11993.5233,91.92027418,87.50340754,0,810,405,639,251,0,154
3,810,405,8,13686.69,12515.8262,11920.167,91.44523767,87.09313209,0,810,405,617,230,0,175
3,810,405,9,13673.39,12650.6675,11445.4839,92.52034426,83.70626377,0,810,405,597,212,0,193
3,810,405,10,13700.55,12538.7513,11665.2343,91.52005795,85.14427742,0,810,405,585,202,0,203
3,810,405,11,13665.52,12603.4441,11307.2501,92.22806084,82.74291867,0,810,405,574,192,0,213
3,810,405,12,13783.28,12681.1704,11057.8264,92.00401066,80.22637863,0,810,405,560,179,0,226
3,810,405,13,13817.49,12539.3487,11121.2571,90.74983011,80.48681128,0,810,405,548,167,0,238
