instance,num_r,num_d,day,centralized,approximate,dynamic,prt_appr,prt_dyn,empty,appr_remain_r,appr_remain_d,cen_remain_r,cen_remain_d,appr_fix,cen_fix
31,6667,3333,1,112473.42,101355.52589999996,112471.7205,90.11509199240137,99.9984889763288,1,6667,3333,6667,3333,0,0
31,6667,3333,2,112616.65,101982.32999999993,107004.71790000013,90.5570623881992,95.01678295349768,1,6667,3333,6415,3184,0,149
31,6667,3333,3,112330.74,101737.31709999993,101033.19620000005,90.56943549023173,89.9426071616728,1,6662,3330,5978,2936,3,397
31,6667,3333,4,112393.87,101601.51319999977,99400.04319999997,90.39773539250831,88.43902536677487,1,6655,3326,5599,2703,7,630
31,6667,3333,5,112620.23,101763.45570000003,97878.03559999996,90.3598365053952,86.90981682420642,1,6653,3325,5229,2473,8,860
31,6667,3333,6,112471.97,101321.65519999976,95088.9515,90.0861389731146,84.5445771955448,1,6643,3321,4935,2270,12,1063
31,6667,3333,7,112765.67,101895.77449999968,94743.52540000026,90.36063413625767,84.01805744602969,1,6629,3315,4715,2113,18,1220
31,6667,3333,8,112763.81,101418.12099999974,92882.64290000005,89.9385370182151,82.36919531186473,1,6623,3312,4496,1946,21,1387
31,6667,3333,9,112680.8,101362.578,92368.24630000013,89.95550084841427,81.97336751247784,1,6614,3308,4332,1823,25,1510
31,6667,3333,10,112325.44,101124.0435999999,90324.35900000014,90.02772978231815,80.41309163801196,1,6610,3306,4183,1711,27,1622
31,6667,3333,11,112570.9,101031.84179999979,89622.0018000001,89.74951945840337,79.61382719690444,1,6601,3302,4028,1587,31,1746
31,6667,3333,12,112391.06,100541.3421999998,88607.75250000009,89.45670785558904,78.83879064758361,1,6587,3296,3898,1483,37,1850
31,6667,3333,13,112561.18,100876.60440000004,87557.843,89.61935580277324,77.78689153756207,1,6572,3289,3788,1394,44,1939
31,6667,3333,14,112438.77,100740.41769999986,86025.80130000012,89.59580196403772,76.50902024275089,1,6550,3278,3677,1297,55,2036
31,6667,3333,15,112544.05,100578.81700000002,85907.36460000006,89.36840019530132,76.33221356437772,1,6545,3276,3610,1240,57,2093
31,6667,3333,16,112600.84,100305.4774,84496.30930000027,89.08057648593031,75.0405674593549,1,6528,3268,3538,1179,65,2154
31,6667,3333,17,112671.01,101477.78589999974,83964.45460000008,90.0655686853253,74.52179100906265,1,6513,3261,3470,1121,72,2212
31,6667,3333,18,112294.83,100245.09869999996,83764.30470000004,89.2695582690672,74.59319783466437,1,6503,3256,3405,1067,77,2266
31,6667,3333,19,112838.62,100638.49070000011,84164.14760000027,89.18798430891844,74.58806887216475,1,6502,3255,3350,1021,78,2312
31,6667,3333,20,112580.88,100337.03429999998,83792.30029999999,89.12440043105009,74.42853555594874,1,6493,3251,3303,980,82,2353
31,6667,3333,21,112572.97,100105.28229999998,83080.48150000011,88.92479455769886,73.80144762992404,1,6490,3249,3248,932,84,2401
31,6667,3333,22,112675.3,100092.98689999987,82527.6653000002,88.83312216608242,73.24379460272145,1,6482,3245,3196,891,88,2442
31,6667,3333,23,112395.88,100023.1995999998,81944.3601000001,88.99187372348506,72.90690735283188,1,6478,3241,3158,856,92,2477
31,6667,3333,24,112675.42,100293.20099999981,81804.80860000016,89.01071857553299,72.60217765329844,1,6474,3238,3116,823,95,2510
31,6667,3333,25,112746.46,100323.50129999993,80137.52790000012,88.98150886511196,71.0776443890124,1,6466,3233,3077,791,100,2542
31,6667,3333,26,112803.17,100485.3807999997,81143.69090000013,89.08028098855706,71.9338746419982,1,6460,3229,3046,764,104,2569
31,6667,3333,27,112658.82,99912.26089999972,80898.55109999995,88.68569802169036,71.80844881918695,1,6455,3226,3025,745,107,2588
31,6667,3333,28,112611.82,100022.45989999983,79793.03549999993,88.82056954589653,70.85671424189745,1,6445,3221,3008,731,112,2602
31,6667,3333,29,113060.32,100148.89699999968,80022.22079999994,88.58005797259345,70.77834274659752,1,6441,3219,2991,715,114,2618
31,6667,3333,30,112555.31,100161.36870000006,79880.40489999998,88.98857699383535,70.96991239240509,1,6432,3214,2969,699,119,2634
