station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
180,8,6572,0,0,49.8814,16.5021,31.9728,0.0,0.0,1883,3725.0,0.0,0.0,7.11,18.07,0.0,0.0,213,935.0,0.0,0.0,one,TR,1
195,4108,8721,4209,0,76.1407,15.4481,33.3907,25.9026,0.0,1127,2435.0,2213.0,0.0,-0.76,10.72,10.28,0.0,98,168.0,355.0,0.0,many,RT,2
0,14,7189,0,0,33.638,17.6668,14.6502,0.0,0.0,1806,1297.0,0.0,0.0,7.07,13.21,0.0,0.0,93,0.0,0.0,0.0,one,SR,1
0,47,4265,3549,0,45.6717,18.8988,11.7253,13.3784,0.0,1084,827.0,993.0,0.0,-3.64,7.93,8.76,0.0,34,0.0,19.0,0.0,many,SR,2
25,55,6433,642,0,91.7019,18.495,34.7949,36.7847,0.0,1062,2785.0,3458.0,0.0,-3.49,13.03,13.25,0.0,31,279.0,720.0,0.0,many,RT,2
0,4152,8011,0,0,58.8589,29.5665,26.9851,0.0,0.0,3368,2568.0,0.0,0.0,14.6,23.07,0.0,0.0,278,0.0,0.0,0.0,one,SR,1
0,62,9809,0,0,30.4751,13.6102,15.4866,0.0,0.0,1659,1378.0,0.0,0.0,5.02,13.78,0.0,0.0,303,0.0,0.0,0.0,one,SR,1
0,76,5551,4262,135,89.1081,33.7996,12.7209,16.5786,22.7002,2131,943.0,1393.0,2131.0,-7.4,8.46,10.49,14.14,258,23.0,114.0,258.0,many,SR,3
0,90,7965,3445,0,47.0523,19.6426,12.7928,12.9086,0.0,1421,919.0,1021.0,0.0,-0.45,8.45,8.64,0.0,88,1.0,69.0,0.0,many,SR,2
0,4198,5774,2989,0,55.2822,21.2173,16.1198,15.9448,0.0,1752,1200.0,1185.0,0.0,0.39,10.04,9.96,0.0,217,0.0,0.0,0.0,many,SR,2
0,4227,3165,3164,0,46.9044,19.3647,12.9191,12.9191,0.0,1352,929.0,929.0,0.0,-1.12,8.51,8.51,0.0,84,0.0,0.0,0.0,many,SR,2
0,153,5706,527,0,43.7702,16.24,12.9149,12.9149,0.0,1246,928.0,928.0,0.0,-2.22,8.5,8.5,0.0,226,0.0,0.0,0.0,many,SR,2
0,4252,9543,7687,1265,67.5561,26.0575,12.9823,12.9823,12.9739,2310,933.0,933.0,933.0,1.21,8.54,8.54,8.53,351,-1.0,-1.0,0.0,many,SR,3
0,4281,5696,5695,0,43.8965,17.6521,12.3015,12.3015,0.0,1116,876.0,876.0,0.0,-3.05,8.21,8.21,0.0,94,0.0,0.0,0.0,many,SR,2
0,4288,4055,0,0,32.649,15.8635,15.4129,0.0,0.0,1809,1370.0,0.0,0.0,6.64,13.73,0.0,0.0,214,0.0,0.0,0.0,one,SR,1
0,4317,3899,0,0,33.7381,17.3745,15.0179,0.0,0.0,1609,1332.0,0.0,0.0,4.78,13.46,0.0,0.0,77,0.0,0.0,0.0,one,SR,1
227,4320,847,0,0,26.6282,11.4116,14.3608,0.0,0.0,1336,1614.0,0.0,0.0,6.33,10.56,0.0,0.0,99,392.0,0.0,0.0,one,RT,1
0,4321,6567,5557,5556,95.2625,36.0412,22.1111,16.8356,16.8356,2677,1966.0,1261.0,1261.0,-2.84,13.61,10.39,10.39,322,177.0,0.0,0.0,many,SR,3
0,4349,465,0,0,76.6869,41.1774,32.7341,0.0,0.0,4466,3165.0,0.0,0.0,21.91,27.75,0.0,0.0,128,0.0,0.0,0.0,one,SR,1
0,4361,3971,1423,0,59.4775,23.9577,20.4768,12.9446,0.0,1705,1688.0,931.0,0.0,-0.98,12.46,8.52,0.0,108,81.0,0.0,0.0,many,SR,2
72,318,8423,2087,0,45.0799,13.8948,12.6792,17.4763,0.0,1228,1088.0,1476.0,0.0,3.63,7.16,8.14,0.0,26,202.0,248.0,0.0,many,RT,2
0,319,6014,1068,0,58.6056,21.802,16.9469,17.6869,0.0,1580,1580.0,1333.0,0.0,-2.94,10.9,10.8,0.0,229,229.0,0.0,0.0,many,SR,2
262,4419,1115,0,0,34.4062,11.1967,22.177,0.0,0.0,1500,2267.0,0.0,0.0,6.46,13.33,0.0,0.0,231,430.0,0.0,0.0,one,RT,1
