ID,num_users,num_riders,num_drivers,num_SR,num_RT,num_TR,num_matches,num_SR,num_RT,num_TR,num_1,num_2,num_3,time_feasible,exact_obj,exact_time,exact_iter,exact_theta,exact_matches,exact_matched_r,exact_matched_d,exact_SR,exact_RT,exact_TR,exact_1,exact_2,exact_3,revenue
1,1070,714,356,96,381,237,38097,3089,22207,12801,34278,3440,379,0.1053,12288.944499999998,0.0776,12,735,333,379,333,208,80,45,292,36,5,385.4984999999999
2,1135,852,283,125,475,252,8620,1212,5897,1511,8391,229,0,0.0279,5280.783400000001,0.0135,8,457,243,264,243,147,58,38,222,21,0,270.2537999999999
3,1215,810,405,120,439,251,30248,2439,20145,7664,28754,1379,115,0.0747,12728.067600000008,0.0855,15,885,364,409,364,226,87,51,322,39,3,406.16980000000007
4,1451,1089,362,172,610,307,44194,3348,29876,10970,39683,4151,360,0.1269,13762.166799999999,0.1687,17,829,348,430,348,206,91,51,272,70,6,422.12469999999985
5,1639,1093,546,146,627,320,75033,5105,53935,15993,64401,9162,1470,0.2197,19892.545400000003,0.1437,13,1372,516,620,516,326,133,57,424,80,12,625.7431000000001
6,1782,1337,445,187,721,429,109028,7061,71530,30437,89659,17210,2159,0.385,18989.084000000006,0.9145,31,1233,433,582,433,266,106,61,304,109,20,565.4825999999997
7,1828,1219,609,178,666,375,62353,6184,42605,13564,55249,6235,869,0.2933,14480.835300000006,0.3365,22,1490,579,705,579,351,146,82,464,104,11,706.4603000000013
8,1950,1300,650,171,727,402,67226,6293,43553,17380,57607,8925,694,0.2578,15062.05569999999,0.4051,18,1529,606,722,606,405,128,73,500,96,10,747.5782000000003
9,2177,1633,544,237,909,487,77646,6629,55101,15916,65072,10974,1600,0.321,22133.931399999998,0.1923,16,1340,533,698,533,359,114,60,387,127,19,684.4743999999997
10,2228,1486,742,199,846,441,73574,7709,49550,16315,60565,10338,2671,0.2877,17770.0808,0.6305,25,1725,677,848,677,451,140,86,528,127,22,844.7548999999988
11,2371,1779,592,250,977,552,192944,13450,127612,51882,152115,31685,9144,0.9258,27267.54789999998,0.8328,34,1911,590,846,590,367,141,82,380,164,46,809.0391000000002
12,2415,1610,805,215,902,493,61646,5911,42336,13399,49364,10138,2144,0.1972,17841.215499999995,0.4571,16,1675,726,863,726,468,167,91,610,95,21,859.3861000000012
13,2710,2033,677,291,1143,599,96987,10396,64269,22322,70867,19218,6902,0.548,18725.312500000007,1.2546,30,1647,656,893,656,446,130,80,453,169,34,884.8664999999994
14,2845,2134,711,298,1215,621,124083,12107,85695,26281,82302,29253,12528,0.8269,20339.385300000005,0.5332,17,1809,696,955,696,459,155,82,476,181,39,938.0426999999995
15,2944,2208,736,295,1272,641,130014,13231,85446,31337,97934,25757,6323,0.7547,32277.383600000023,0.6368,21,2050,715,1011,715,479,155,81,466,202,47,979.7402000000001
16,3051,2289,762,334,1258,697,343458,21231,233116,89111,244338,75005,24115,1.9141,36003.21770000006,1.7331,27,2641,760,1135,760,482,167,111,441,263,56,1076.9221000000005
17,3145,2359,786,325,1314,720,246725,15033,175884,55808,186144,46980,13601,1.2985,35029.79259999997,5.4677,40,2437,775,1080,775,484,198,93,528,189,58,1036.0555000000004
18,3358,2519,839,362,1417,740,336085,19271,253394,63420,225379,78075,32631,1.9738,38595.44469999998,12.1638,39,2663,834,1202,834,512,208,114,522,256,56,1142.4776000000004
19,3389,2260,1129,328,1271,661,121166,12798,79628,28740,90956,21614,8596,0.6044,26568.49569999996,3.8268,41,2558,1023,1266,1023,685,205,133,799,205,19,1283.9923999999996
20,3465,2310,1155,320,1319,671,403094,30493,294095,78506,272913,98929,31252,3.2612,32805.4854,12.0764,39,3519,1103,1587,1103,718,249,136,687,348,68,1490.0907000000002
21,3744,2496,1248,340,1387,769,241009,26102,162994,51913,172378,50252,18379,1.5917,32516.393700000015,2.2992,32,3342,1168,1554,1168,824,208,136,840,270,58,1558.4420999999986
22,3867,2578,1289,321,1433,824,154763,17196,102322,35245,115514,30120,9129,0.8567,31000.262800000008,1.2189,27,2883,1159,1482,1159,778,241,140,877,241,41,1470.9109999999978
23,3986,2990,996,393,1661,936,244051,23805,160445,59801,177733,50607,15711,1.6276,46511.21780000001,47.2987,193,3428,977,1452,977,662,201,114,586,307,84,1404.6580999999996
24,4195,2797,1398,376,1562,859,658432,37113,496848,124471,457982,149345,51105,3.9198,59684.58079999994,2.9334,24,4136,1344,1855,1344,896,288,160,904,369,71,1821.2999999999968
25,4252,2835,1417,394,1584,857,656584,38005,478370,140209,410533,162790,83261,3.3421,59699.56979999993,20.926,43,4315,1357,1872,1357,906,282,169,917,365,75,1826.004999999995
26,4540,3405,1135,491,1866,1048,412343,35780,234955,141608,213304,100599,98440,2.6998,36618.23370000005,5.495,59,3552,1119,1690,1119,767,222,130,650,367,102,1644.3150000000023
27,4675,3507,1168,468,1957,1082,865845,49129,607819,208897,394849,278448,192548,6.0915,41442.36889999996,73.2351,81,4444,1165,1956,1165,770,247,148,550,439,176,1790.1019999999994
28,4799,3600,1199,516,2037,1047,408593,40196,285949,82448,249551,109109,49933,3.0681,38968.26620000001,9.6026,49,3537,1182,1824,1182,837,232,113,660,402,120,1771.3932999999988
29,4802,3202,1600,410,1820,972,497581,42788,350185,104608,323365,109678,64538,3.0961,67833.27900000004,4.8382,34,4638,1502,2108,1502,1040,312,150,979,440,83,2089.976300000002
30,4966,3725,1241,482,2139,1104,812052,46564,575039,190449,507008,216501,88543,4.7584,62850.846500000014,36.9419,59,4647,1240,1961,1240,805,279,156,664,431,145,1849.9290000000035
