station,driver,rider1,rider2,rider3,VMT,save_d,save_r1,save_r2,save_r3,T_d,T_r1,T_r2,T_r3,cost_d,cost_r1,cost_r2,cost_r3,detour_d,detour_r1,detour_r2,detour_r3,size,type,num_riders
0,12,3299,0,0,40.7896,21.9835,17.289,0.0,0.0,2075,1560.0,0.0,0.0,8.13,15.17,0.0,0.0,17,0.0,0.0,0.0,one,SR,1
0,20,4572,0,0,46.8654,24.3986,20.6738,0.0,0.0,2636,1912.0,0.0,0.0,11.54,17.93,0.0,0.0,145,0.0,0.0,0.0,one,SR,1
0,2074,3016,0,0,32.8671,15.9096,15.5736,0.0,0.0,1796,1386.0,0.0,0.0,6.4,13.84,0.0,0.0,214,0.0,0.0,0.0,one,SR,1
0,4134,1296,0,0,40.0173,21.2216,17.2794,0.0,0.0,1994,1559.0,0.0,0.0,7.29,15.16,0.0,0.0,39,0.0,0.0,0.0,one,SR,1
0,40,7510,0,0,28.541,16.7487,10.7372,0.0,0.0,1825,921.0,0.0,0.0,9.67,10.55,0.0,0.0,19,0.0,0.0,0.0,one,SR,1
0,2088,8120,0,0,30.2096,16.72,12.327,0.0,0.0,1731,1073.0,0.0,0.0,7.71,11.63,0.0,0.0,51,0.0,0.0,0.0,one,SR,1
0,4139,3639,0,0,20.3406,10.6116,8.8054,0.0,0.0,1293,735.0,0.0,0.0,5.26,9.24,0.0,0.0,164,0.0,0.0,0.0,one,SR,1
0,45,65,0,0,39.6764,18.3547,19.6149,0.0,0.0,2556,1802.0,0.0,0.0,11.48,17.07,0.0,0.0,407,0.0,0.0,0.0,one,SR,1
0,2104,1254,0,0,38.8336,22.189,15.2806,0.0,0.0,2666,1358.0,0.0,0.0,15.72,13.64,0.0,0.0,64,0.0,0.0,0.0,one,SR,1
0,69,7888,0,0,27.5897,14.3538,12.0888,0.0,0.0,1179,1051.0,0.0,0.0,2.06,11.47,0.0,0.0,47,0.0,0.0,0.0,one,SR,1
0,4176,6166,0,0,64.1417,29.5815,31.8562,0.0,0.0,3369,3074.0,0.0,0.0,11.04,27.04,0.0,0.0,467,0.0,0.0,0.0,one,SR,1
0,87,5944,0,0,23.276,11.5001,10.7221,0.0,0.0,1350,919.0,0.0,0.0,4.69,10.54,0.0,0.0,192,0.0,0.0,0.0,one,SR,1
