instance,r_detour,d_detour,r_saves,d_saves
1,11.35,9.89,47.94,48.29
2,9.51,8.6,37.62,32.96
3,11.04,10.76,47.81,47.44
4,11.77,9.62,49.06,50.97
5,10.48,10.67,48.68,49.58
6,13.15,9.19,49.52,52.8
7,11.18,9.92,39.14,35.67
8,9.5,9.65,38.53,36.8
9,8.52,8.41,49.43,54.65
10,8.1,8.46,39.6,39.51
11,12.98,9.28,49.97,55.96
12,7.88,8.05,39.15,36.59
13,7.79,8.39,40.1,43.54
14,9.05,7.76,40.23,43.81
15,8.39,8.35,50.19,56.42
16,11.76,9.55,50.37,57.22
17,12.27,9.28,50.02,54.94
18,11.41,9.25,50.36,56.38
19,7.89,8.11,39.33,38.74
20,11.39,9.64,40.64,42.49
21,7.21,8.14,39.84,42.28
22,7.64,8.22,39.77,39.65
23,8.67,8.09,50.52,58.9
24,10.71,10.0,49.86,54.32
25,10.45,9.81,49.79,54.09
26,8.27,7.94,41.18,47.76
27,11.41,9.55,41.84,50.78
28,7.68,8.2,41.16,49.66
29,7.89,8.56,50.13,56.36
30,11.2,9.12,50.93,59.25
