instance,r_detour,d_detour,r_saves,d_saves
1,11.5,9.9,48.1,47.89
2,9.45,8.43,37.75,32.92
3,10.87,10.81,47.84,47.44
4,12.04,9.46,49.02,50.97
5,10.43,10.44,48.77,49.52
6,12.88,9.14,49.47,52.84
7,11.29,9.68,39.22,35.84
8,9.57,9.56,38.66,36.81
9,8.66,8.33,49.55,54.62
10,8.19,8.33,39.64,39.63
11,13.05,9.11,50.0,56.05
12,7.86,8.0,39.25,36.55
13,7.93,8.03,40.15,43.37
14,9.03,7.55,40.26,43.85
15,8.51,7.99,50.2,56.56
16,11.85,9.55,50.41,56.95
17,12.12,9.5,50.05,54.79
18,11.46,9.21,50.39,56.25
19,7.68,7.86,39.44,39.02
20,11.56,9.68,40.68,42.15
21,7.26,7.97,39.94,42.25
22,7.83,8.02,39.83,39.5
23,8.8,8.07,50.61,58.65
24,10.69,9.79,49.94,54.28
25,10.55,9.66,49.9,54.0
26,8.64,7.91,41.37,47.68
27,11.71,9.16,41.91,50.4
28,7.88,8.2,41.25,49.41
29,7.98,8.25,50.18,56.3
30,11.08,8.89,50.94,59.22
