instance,revenue,obj
1,379.61,12235.363
2,267.79,5262.1957999999995
3,407.26,12765.7896
4,422.7,13785.8205
5,0.0,0.0
6,566.44,18954.797599999998
7,701.9,14473.0578
8,747.9,15150.2775
9,0.0,0.0
10,841.66,17755.3744
11,0.0,0.0
12,857.61,17932.3186
13,874.9,18632.9706
14,0.0,0.0
15,0.0,0.0
16,0.0,0.0
17,1039.83,35112.0023
18,1138.97,38562.043600000005
19,1276.23,26552.348100000003
20,1482.33,32765.039500000003
21,0.0,0.0
22,0.0,0.0
23,1397.23,46619.837100000004
24,0.0,0.0
25,1806.96,59479.6377
26,0.0,0.0
27,1767.04,41243.412899999996
28,1759.72,38934.7671
29,0.0,0.0
30,1839.16,62570.76700000001
