istance,broken,broken_r,broken_d,subsidy
4,1,3,1,21.0989
5,3,5,3,9.1892
6,3,5,3,21.6235
8,2,3,2,15.584900000000001
9,2,4,2,2.8676999999999957
10,1,2,1,14.9625
11,4,6,4,34.9116
12,2,4,2,10.0914
13,1,1,1,7.4341
14,3,5,3,8.8489
15,4,8,4,16.817500000000003
16,6,10,6,22.250400000000006
17,3,6,3,6.329199999999995
18,2,4,2,7.1282
19,3,5,3,15.1166
20,3,3,3,3.625200000000002
21,5,10,5,10.301599999999997
22,6,11,6,19.4503
23,4,8,4,75.07939999999999
24,5,9,5,47.7632
25,7,15,7,26.097900000000003
26,7,13,7,21.19110000000001
27,6,14,6,40.41100000000002
28,2,4,2,2.929599999999997
29,8,14,8,42.622699999999995
30,4,9,4,9.429300000000008
